hap	HSat2_chromosomes	HSat3_chromosomes
HG00321_hap1	chr1,chr2,chr7,chr9,chr10,chr16,chr17	chr1,chr2,chr3,chr4,chr5,chr7,chr9,chr10,chr16,chr17,chr20
HG00321_hap2	chr1,chr2,chr7,chr9,chr10,chr16,chr17	chr1,chr2,chr3,chr4,chr5,chr7,chr9,chr10,chr16,chr17,chr20
HG00323_hap1	chr1,chr7,chr9,chr10,chr16,chr17	chr1,chr3,chr4,chr5,chr7,chr9,chr10,chr16,chr17,chr20
HG00323_hap2	chr1,chr7,chr10,chr16,chr17	chr1,chr3,chr4,chr5,chr7,chr10,chr16,chr17,chr20
HG00329_hap1	chr7,chr10,chr16,chr17	chr3,chr4,chr5,chr7,chr10,chr16,chr17,chr20
HG00329_hap2	chr7,chr10,chr16	chr3,chr4,chr5,chr7,chr10,chr16,chr20
HG00344_hap1	chr1,chr2,chr7,chr10	chr1,chr2,chr3,chr4,chr5,chr7,chr10,chr20
HG00344_hap2	chr1,chr2,chr7,chr10,chr16	chr1,chr2,chr3,chr4,chr5,chr7,chr10,chr16,chr20
HG00350_hap1	chr1,chr7,chr9,chr10,chr16,chr17	chr1,chr3,chr5,chr7,chr9,chr10,chr16,chr17,chr20
HG00350_hap2	chr1,chr7,chr9,chr10,chr16,chr17	chr1,chr3,chr5,chr7,chr9,chr10,chr16,chr17,chr20
HG00358_hap1	chr1,chr7,chr10,chr16,chr17	chr1,chr3,chr4,chr5,chr7,chr10,chr16,chr17,chr20
HG00358_hap2	chr7,chr9,chr10,chr17	chr3,chr4,chr5,chr7,chr9,chr10,chr17,chr20
HG00408_hap1	chr2,chr9,chr10,chr16	chr2,chr3,chr4,chr5,chr9,chr10,chr16,chr20
HG00408_hap2	chr2,chr9,chr10,chr16	chr2,chr3,chr4,chr5,chr9,chr10,chr16,chr20
HG00423_hap1	chr2,chr7,chr9,chr10,chr16	chr2,chr3,chr4,chr5,chr7,chr9,chr10,chr16,chr20
HG00423_hap2	chr2,chr7,chr9,chr10,chr16	chr2,chr3,chr4,chr5,chr7,chr9,chr10,chr16,chr20
HG00438_hap1	chr1,chr2,chr7,chr10,chr16,chr17	chr1,chr2,chr3,chr4,chr5,chr7,chr10,chr16,chr17,chr20
HG00438_hap2	chr1,chr2,chr7,chr9,chr10,chr16,chr17	chr1,chr2,chr3,chr4,chr5,chr7,chr9,chr10,chr16,chr17,chr20
HG00512_hap1	chr1,chr2,chr10	chr1,chr2,chr3,chr5,chr10,chr20
HG00512_hap2	chr1,chr7,chr10,chr17	chr1,chr3,chr4,chr5,chr7,chr10,chr17
HG00513_hap1	chr7,chr10,chr16	chr5,chr7,chr10,chr16
HG00513_hap2	chr1,chr2,chr7,chr9,chr10,chr16,chr17	chr1,chr2,chr3,chr4,chr5,chr7,chr9,chr10,chr16,chr17
HG00514_hap1	chr2,chr10,chr17	chr2,chr3,chr5,chr10,chr17
HG00514_hap2	chr2,chr10,chr17	chr2,chr3,chr5,chr10,chr17
HG00544_hap1	chr1,chr2,chr7,chr9,chr10,chr16	chr1,chr2,chr3,chr5,chr7,chr9,chr10,chr16
HG00544_hap2	chr1,chr2,chr7,chr9,chr10,chr16	chr1,chr2,chr3,chr5,chr7,chr9,chr10,chr16
HG00558_hap1	chr1,chr7,chr9,chr10,chr16	chr1,chr3,chr4,chr5,chr7,chr9,chr10,chr16,chr20
HG00558_hap2	chr1,chr7,chr9,chr10,chr16	chr1,chr3,chr4,chr7,chr9,chr10,chr16,chr20
HG00597_hap1	chr1,chr2,chr7,chr9,chr10,chr16	chr1,chr2,chr3,chr4,chr5,chr7,chr9,chr10,chr16,chr20
HG00597_hap2	chr1,chr2,chr7,chr9,chr10,chr16	chr1,chr2,chr3,chr5,chr7,chr9,chr10,chr16,chr20
HG00609_hap1	chr1,chr2,chr7,chr9,chr10,chr16,chr17	chr1,chr2,chr3,chr4,chr5,chr7,chr9,chr10,chr16,chr17,chr20
HG00609_hap2	chr1,chr2,chr7,chr9,chr10,chr16,chr17	chr1,chr2,chr3,chr4,chr5,chr7,chr9,chr10,chr16,chr17,chr20
HG00621_hap1	chr1,chr9,chr10,chr16	chr1,chr3,chr4,chr5,chr9,chr10,chr16,chr20
HG00621_hap2	chr1,chr7,chr9,chr10,chr16	chr1,chr3,chr4,chr5,chr7,chr9,chr10,chr16,chr20
HG00639_hap1	chr1,chr7,chr10,chr16	chr1,chr3,chr4,chr5,chr7,chr10,chr16,chr20
HG00639_hap2	chr1,chr7,chr10,chr16	chr1,chr3,chr4,chr5,chr7,chr10,chr16
HG00642_hap1	chr2,chr7,chr10,chr16	chr2,chr3,chr4,chr5,chr7,chr10,chr16,chr20
HG00642_hap2	chr2,chr7,chr9,chr10,chr16,chrY	chr2,chr3,chr4,chr5,chr7,chr9,chr10,chr16,chr20,chrY
HG00658_hap1	chr2,chr7,chr9,chr10,chr16	chr2,chr5,chr7,chr9,chr10,chr16,chr20
HG00658_hap2	chr1,chr2,chr7,chr9,chr10,chr16	chr1,chr2,chr5,chr7,chr9,chr10,chr16
HG00673_hap1	chr1,chr2,chr7,chr9,chr10,chr16	chr1,chr2,chr3,chr4,chr5,chr7,chr9,chr10,chr16,chr20
HG00673_hap2	chr2,chr7,chr9,chr10,chr16	chr2,chr3,chr4,chr5,chr7,chr9,chr10,chr16,chr20
HG00706_hap1	chr1,chr2,chr7,chr9,chr10,chr16	chr1,chr2,chr3,chr4,chr5,chr7,chr9,chr10,chr16,chr20
HG00706_hap2	chr1,chr2,chr7,chr9,chr10,chr16	chr1,chr3,chr4,chr5,chr7,chr9,chr10,chr16,chr20
HG00731_hap1	chr1,chr2,chr7,chr9,chr10,chr16,chr17	chr1,chr2,chr3,chr4,chr5,chr7,chr9,chr10,chr16,chr17,chr20
HG00731_hap2	chr1,chr7,chr9,chr10,chr16,chr17,chrY	chr1,chr3,chr4,chr5,chr7,chr9,chr10,chr16,chr17,chr20,chrY
HG00732_hap1	chr1,chr2,chr9,chr10,chr16,chr17	chr1,chr2,chr3,chr4,chr5,chr9,chr10,chr16,chr17,chr20
HG00732_hap2	chr9,chr10,chr16,chr17	chr3,chr4,chr5,chr9,chr10,chr16,chr17,chr20
HG00733_hap1	chr1,chr7,chr10,chr16	chr1,chr3,chr4,chr5,chr7,chr10,chr16,chr20
HG00733_hap2	chr2,chr9,chr10,chr16,chr17	chr2,chr3,chr4,chr5,chr9,chr10,chr16,chr17,chr20
HG00735_hap1	chr9,chr10,chr16	chr4,chr5,chr9,chr10,chr16
HG00735_hap2	chr9,chr10,chr16	chr4,chr5,chr9,chr10,chr16
HG00738_hap1	chr2,chr7,chr9,chr10,chr16	chr2,chr3,chr4,chr5,chr7,chr9,chr10,chr16,chr20
HG00738_hap2	chr1,chr2,chr7,chr9,chr10,chr16	chr1,chr2,chr4,chr5,chr7,chr9,chr10,chr16,chr20
HG00741_hap1	chr1,chr2,chr7,chr9,chr10,chr16	chr1,chr2,chr5,chr7,chr9,chr10,chr16,chr20
HG00741_hap2	chr1,chr2,chr7,chr9,chr10,chr16	chr1,chr2,chr5,chr7,chr9,chr10,chr16,chr20
HG00864_hap1	chr7,chr9,chr10,chr17	chr3,chr4,chr5,chr7,chr9,chr10,chr17,chr20
HG00864_hap2	chr1,chr7,chr9,chr16	chr1,chr3,chr4,chr5,chr7,chr9,chr16,chr20
HG01071_hap1	chr1,chr2,chr9,chr10,chr16,chr17	chr1,chr2,chr3,chr4,chr5,chr9,chr10,chr16,chr17,chr20
HG01071_hap2	chr1,chr2,chr9,chr10,chr16,chr17	chr1,chr2,chr3,chr4,chr5,chr9,chr10,chr16,chr17,chr20
HG01074_hap1	chr1,chr2,chr7,chr9,chr10,chr16	chr1,chr2,chr5,chr7,chr9,chr10,chr16,chr20
HG01074_hap2	chr2,chr7,chr9,chr10,chr16	chr2,chr5,chr7,chr9,chr10,chr16,chr20
HG01081_hap1	chr1,chr2,chr7,chr9,chr10,chr16,chr17	chr1,chr2,chr3,chr5,chr7,chr9,chr10,chr16,chr17,chr20
HG01081_hap2	chr2,chr7,chr9,chr10,chr16,chr17	chr2,chr5,chr7,chr9,chr10,chr16,chr17,chr20
HG01099_hap1	chr1,chr2,chr7,chr9,chr10,chr16,chr17	chr1,chr2,chr3,chr5,chr7,chr9,chr10,chr16,chr17,chr20
HG01099_hap2	chr1,chr2,chr7,chr9,chr10,chr16,chr17	chr1,chr2,chr3,chr5,chr7,chr9,chr10,chr16,chr17,chr20
HG01106_hap1	chr1,chr2,chr7,chr10,chr16,chr17	chr1,chr2,chr5,chr7,chr10,chr16,chr17,chr20
HG01106_hap2	chr1,chr2,chr7,chr9,chr10,chr16,chr17	chr1,chr2,chr5,chr7,chr9,chr10,chr16,chr17,chr20
HG01109_hap1	chr2,chr7,chr9,chr10,chr16,chr17	chr2,chr5,chr7,chr9,chr10,chr16,chr17,chr20
HG01109_hap2	chr2,chr7,chr9,chr10,chr16,chr17	chr2,chr4,chr5,chr7,chr9,chr10,chr16,chr17,chr20
HG01114_hap1	chr1,chr2,chr9,chr10,chr16,chr17	chr1,chr2,chr4,chr5,chr9,chr10,chr16,chr17
HG01114_hap2	chr1,chr7,chr9,chr10,chr16,chr17	chr1,chr5,chr7,chr9,chr10,chr16,chr17
HG01123_hap1	chr1,chr7,chr9,chr10,chr16,chr17	chr1,chr3,chr5,chr7,chr9,chr10,chr16,chr17,chr20
HG01123_hap2	chr1,chr7,chr9,chr10,chr16,chr17	chr1,chr5,chr7,chr9,chr10,chr16,chr17,chr20
HG01150_hap1	chr2,chr7,chr10,chr16,chr17	chr2,chr3,chr5,chr7,chr10,chr16,chr17,chr20
HG01150_hap2	chr2,chr7,chr9,chr10,chr16,chr17	chr2,chr3,chr5,chr7,chr9,chr10,chr16,chr17,chr20
HG01167_hap1	chr1,chr2,chr7,chr9,chr10,chr16,chr17	chr1,chr2,chr3,chr4,chr5,chr7,chr9,chr10,chr16,chr17,chr20
HG01167_hap2	chr1,chr2,chr7,chr9,chr10,chr16,chr17	chr1,chr2,chr3,chr4,chr5,chr7,chr9,chr10,chr16,chr17,chr20
HG01175_hap1	chr2,chr7,chr9,chr10,chr16	chr2,chr3,chr4,chr5,chr7,chr9,chr10,chr16,chr20
HG01175_hap2	chr2,chr7,chr9,chr10,chr16	chr2,chr3,chr4,chr5,chr7,chr9,chr10,chr16,chr20
HG01192_hap1	chr2,chr9,chr10,chr16	chr2,chr3,chr4,chr5,chr9,chr10,chr16,chr20
HG01192_hap2	chr2,chr7,chr9,chr10,chr16,chr17	chr2,chr3,chr4,chr5,chr7,chr9,chr10,chr16,chr17,chr20
HG01243_hap1	chr1,chr2,chr7,chr9,chr10,chr16,chr17	chr1,chr2,chr5,chr7,chr9,chr10,chr16,chr17,chr20
HG01243_hap2	chr1,chr2,chr7,chr9,chr10,chr16,chr17	chr1,chr2,chr5,chr7,chr9,chr10,chr16,chr17,chr20
HG01252_hap1	chr2,chr7,chr10,chr16,chr17	chr2,chr3,chr5,chr7,chr10,chr16,chr17,chr20
HG01252_hap2	chr1,chr2,chr7,chr9,chr10,chr16,chr17	chr1,chr2,chr3,chr5,chr7,chr9,chr10,chr16,chr17,chr20
HG01255_hap1	chr1,chr2,chr7,chr9,chr10,chr16	chr1,chr2,chr3,chr4,chr5,chr7,chr9,chr10,chr16,chr20
HG01255_hap2	chr1,chr2,chr7,chr9,chr10,chr16	chr1,chr2,chr3,chr4,chr5,chr7,chr9,chr10,chr16,chr20
HG01258_hap1	chr2,chr7,chr9,chr10,chr16	chr2,chr4,chr5,chr7,chr9,chr10,chr16,chr20
HG01258_hap2	chr1,chr2,chr7,chr10,chr16,chr17	chr1,chr2,chr4,chr5,chr7,chr10,chr16,chr17,chr20
HG01261_hap1	chr1,chr2,chr7,chr9,chr10,chr16	chr1,chr2,chr4,chr5,chr7,chr9,chr10,chr16
HG01261_hap2	chr1,chr2,chr7,chr10,chr16,chrY	chr1,chr2,chr4,chr5,chr7,chr10,chr16,chrY
HG01346_hap1	chr2,chr7,chr9,chr10,chr16	chr2,chr3,chr4,chr5,chr7,chr9,chr10,chr16,chr20
HG01346_hap2	chr2,chr9,chr10,chr16	chr2,chr3,chr4,chr5,chr9,chr10,chr16,chr20
HG01352_hap1	chr1,chr2,chr7,chr9,chr10	chr1,chr2,chr4,chr5,chr7,chr9,chr10,chr20
HG01352_hap2	chr1,chr2,chr7,chr9,chr10,chr17	chr1,chr2,chr3,chr5,chr7,chr9,chr10,chr17,chr20
HG01358_hap1	chr2,chr7,chr9,chr10,chr16,chr17	chr2,chr3,chr4,chr5,chr7,chr9,chr10,chr16,chr17,chr20
HG01358_hap2	chr2,chr7,chr9,chr10,chr16	chr2,chr3,chr4,chr5,chr7,chr9,chr10,chr16,chr20
HG01361_hap1	chr1,chr2,chr9,chr10,chr16	chr1,chr2,chr3,chr4,chr5,chr9,chr10,chr16,chr20
HG01361_hap2	chr1,chr2,chr9,chr10,chr16	chr1,chr2,chr3,chr4,chr5,chr9,chr10,chr16,chr20
HG01433_hap1	chr2,chr7,chr9,chr10,chr16,chr17	chr2,chr3,chr4,chr5,chr7,chr9,chr10,chr16,chr17,chr20
HG01433_hap2	chr2,chr7,chr9,chr10,chr16,chr17	chr2,chr3,chr4,chr5,chr7,chr9,chr10,chr16,chr17,chr20
HG01457_hap1	chr1,chr2,chr7,chr10,chr16,chr17	chr1,chr2,chr3,chr4,chr5,chr7,chr10,chr16,chr17,chr20
HG01457_hap2	chr1,chr7,chr10,chr16,chr17	chr1,chr3,chr4,chr5,chr7,chr10,chr16,chr17,chr20
HG01496_hap1	chr1,chr2,chr7,chr9,chr10,chr16,chr17	chr1,chr2,chr3,chr5,chr7,chr9,chr10,chr16,chr17,chr20
HG01496_hap2	chr2,chr7,chr9,chr10,chr16,chr17	chr2,chr3,chr5,chr7,chr9,chr10,chr16,chr17,chr20
HG01505_hap1	chr2,chr7,chr9,chr10,chr16,chr17	chr2,chr3,chr7,chr9,chr10,chr16,chr17,chr20
HG01505_hap2	chr7,chr9,chr10,chr16,chr17	chr3,chr4,chr5,chr7,chr9,chr10,chr16,chr17,chr20
HG01530_hap1	chr1,chr9,chr10	chr1,chr3,chr4,chr5,chr9,chr10,chr20
HG01530_hap2	chr1,chr2,chr9,chr10	chr1,chr2,chr3,chr4,chr5,chr9,chr10,chr20
HG01573_hap1	chr7,chr10,chr16	chr3,chr5,chr7,chr10,chr16,chr20
HG01573_hap2	chr2,chr7,chr10,chr16,chr17	chr2,chr3,chr4,chr5,chr7,chr10,chr16,chr17,chr20
HG01596_hap1	chr1,chr2,chr7,chr10,chr16,chr17	chr1,chr2,chr3,chr4,chr5,chr7,chr10,chr16,chr17,chr20
HG01596_hap2	chr9,chr10,chr16	chr3,chr4,chr5,chr9,chr10,chr16,chr20
HG01784_hap1	chr1,chr7,chr9,chr10,chr16,chr17	chr1,chr3,chr4,chr5,chr7,chr9,chr10,chr16,chr17,chr20
HG01784_hap2	chr7,chr9,chr10,chr16,chr17	chr3,chr4,chr5,chr7,chr9,chr10,chr16,chr17,chr20
HG01786_hap1	chr7,chr9,chr10	chr4,chr5,chr7,chr9,chr10,chr20
HG01786_hap2	chr7,chr9,chr10	chr3,chr4,chr5,chr7,chr9,chr10
HG01884_hap1	chr1,chr2,chr7,chr9,chr10,chr17	chr1,chr2,chr3,chr5,chr7,chr9,chr10,chr17,chr20
HG01884_hap2	chr1,chr2,chr7,chr9,chr10,chr17	chr1,chr2,chr3,chr5,chr7,chr9,chr10,chr17,chr20
HG01890_hap1	chr1,chr2,chr9,chr10,chr16,chr17	chr1,chr2,chr3,chr4,chr5,chr9,chr10,chr16,chr17,chr20
HG01890_hap2	chr1,chr2,chr7,chr9,chr10,chr16,chr17	chr1,chr2,chr3,chr4,chr5,chr7,chr9,chr10,chr16,chr17,chr20
HG01891_hap1	chr2,chr7,chr9,chr16	chr2,chr4,chr7,chr9,chr16
HG01891_hap2	chr2,chr7,chr16	chr2,chr4,chr7,chr16
HG01928_hap1	chr1,chr2,chr7,chr9,chr10,chr16,chr17	chr1,chr2,chr3,chr4,chr5,chr7,chr9,chr10,chr16,chr17,chr20
HG01928_hap2	chr1,chr2,chr7,chr9,chr10,chr16,chr17	chr1,chr2,chr3,chr4,chr5,chr7,chr9,chr10,chr16,chr17,chr20
HG01934_hap1	chr1,chr2,chr7,chr9,chr10,chr16,chr17	chr1,chr2,chr3,chr5,chr7,chr9,chr10,chr16,chr17,chr20
HG01934_hap2	chr1,chr2,chr7,chr9,chr10,chr16,chr17	chr1,chr3,chr5,chr7,chr9,chr10,chr16,chr17,chr20
HG01940_hap1	chr1,chr2,chr9,chr10,chr16,chr17	chr1,chr2,chr3,chr4,chr5,chr9,chr10,chr16,chr17,chr20
HG01940_hap2	chr1,chr2,chr9,chr10,chr16,chr17	chr1,chr2,chr3,chr4,chr5,chr9,chr10,chr16,chr17,chr20
HG01943_hap1	chr2,chr9,chr10,chr16	chr2,chr3,chr5,chr9,chr10,chr16,chr20
HG01943_hap2	chr2,chr9,chr10,chr16	chr2,chr5,chr9,chr10,chr16,chr20
HG01952_hap1	chr1,chr2,chr7,chr9,chr10,chr16	chr1,chr2,chr4,chr5,chr7,chr9,chr10,chr16,chr20
HG01952_hap2	chr1,chr2,chr7,chr10,chr16	chr1,chr2,chr4,chr5,chr7,chr10,chr16,chr20
HG01960_hap1	chr1,chr7,chr9,chr10,chr16	chr1,chr5,chr7,chr9,chr10,chr16,chr20
HG01960_hap2	chr1,chr7,chr9,chr10,chr16	chr1,chr5,chr7,chr9,chr10,chr16,chr20
HG01969_hap1	chr1,chr2,chr7,chr9,chr10,chr16	chr1,chr2,chr3,chr5,chr7,chr9,chr10,chr16,chr20
HG01969_hap2	chr1,chr2,chr7,chr9,chr10,chr16	chr1,chr2,chr3,chr5,chr7,chr9,chr10,chr16,chr20
HG01975_hap1	chr1,chr2,chr7,chr9,chr10,chr16	chr1,chr2,chr3,chr5,chr7,chr9,chr10,chr16,chr20
HG01975_hap2	chr1,chr2,chr7,chr9,chr10,chr16	chr1,chr2,chr3,chr5,chr7,chr9,chr10,chr16,chr20
HG01978_hap1	chr1,chr2,chr9,chr10,chr17	chr1,chr2,chr3,chr9,chr10,chr17,chr20
HG01978_hap2	chr2,chr9,chr10,chr17	chr2,chr3,chr5,chr9,chr10,chr17,chr20
HG01981_hap1	chr2,chr7,chr9,chr10,chr16	chr2,chr3,chr4,chr5,chr7,chr9,chr10,chr16,chr20
HG01981_hap2	chr2,chr7,chr9,chr10,chr16	chr2,chr3,chr4,chr5,chr7,chr9,chr10,chr16,chr20
HG01993_hap1	chr2,chr7,chr9,chr10,chr16	chr2,chr3,chr4,chr5,chr7,chr9,chr10,chr16,chr20
HG01993_hap2	chr2,chr7,chr9,chr10,chr16	chr2,chr3,chr4,chr5,chr7,chr9,chr10,chr16,chr20
HG02004_hap1	chr1,chr7,chr10,chr16	chr1,chr4,chr5,chr7,chr10,chr16,chr20
HG02004_hap2	chr1,chr7,chr9,chr10,chr16	chr1,chr4,chr5,chr7,chr9,chr10,chr16,chr20
HG02011_hap1	chr2,chr7,chr9,chr10,chr17	chr2,chr3,chr4,chr5,chr7,chr9,chr10,chr17
HG02011_hap2	chr1,chr7,chr9,chr10,chr16,chr17	chr1,chr3,chr4,chr5,chr7,chr9,chr10,chr16,chr17,chr20
HG02015_hap1	chr1,chr10	chr1,chr4,chr5,chr10
HG02015_hap2	chr1,chr9,chr10	chr1,chr4,chr5,chr9,chr10
HG02018_hap1	chr1,chr7,chr9,chr10,chr16,chr17	chr1,chr3,chr4,chr5,chr7,chr9,chr10,chr16,chr17,chr20
HG02018_hap2	chr1,chr7,chr9,chr10,chr17	chr1,chr4,chr5,chr7,chr9,chr10,chr17,chr20
HG02027_hap1	chr2,chr7,chr9,chr10,chr16,chr17	chr2,chr4,chr5,chr7,chr9,chr10,chr16,chr17,chr20
HG02027_hap2	chr2,chr7,chr9,chr10,chr16,chr17	chr2,chr4,chr5,chr7,chr9,chr10,chr16,chr17,chr20
HG02040_hap1	chr1,chr2,chr7,chr9,chr16,chr17	chr1,chr2,chr4,chr5,chr7,chr9,chr16,chr17,chr20
HG02040_hap2	chr1,chr2,chr7,chr9,chr10,chr16,chr17	chr1,chr2,chr4,chr5,chr7,chr9,chr10,chr16,chr17,chr20
HG02055_hap1	chr2,chr7,chr9,chr10,chr16	chr2,chr5,chr7,chr9,chr10,chr16,chr20
HG02055_hap2	chr1,chr2,chr7,chr9,chr10,chr16	chr1,chr2,chr5,chr7,chr9,chr10,chr16,chr20
HG02056_hap1	chr1,chr2,chr7,chr9,chr10,chr16	chr1,chr2,chr5,chr7,chr9,chr10,chr16,chr20
HG02056_hap2	chr1,chr2,chr7,chr9,chr10,chr16	chr1,chr2,chr5,chr7,chr9,chr10,chr16,chr20
HG02059_hap1	chr1,chr2,chr7,chr9,chr10	chr1,chr2,chr3,chr4,chr5,chr7,chr9,chr10,chr20
HG02059_hap2	chr1,chr2,chr7,chr10,chr16	chr1,chr2,chr3,chr4,chr5,chr7,chr10,chr16,chr20
HG02071_hap1	chr2,chr7,chr9,chr10,chr17	chr2,chr3,chr5,chr7,chr9,chr10,chr17,chr20
HG02071_hap2	chr1,chr2,chr7,chr9,chr10,chr16,chr17	chr1,chr2,chr3,chr5,chr7,chr9,chr10,chr16,chr17,chr20
HG02074_hap1	chr2,chr7,chr9,chr16	chr2,chr4,chr5,chr7,chr9,chr16,chr20
HG02074_hap2	chr7,chr9,chr16	chr4,chr5,chr7,chr9,chr16,chr20
HG02080_hap1	chr2,chr7,chr9,chr10,chr16,chr17	chr2,chr4,chr5,chr7,chr9,chr10,chr16,chr17,chr20
HG02080_hap2	chr2,chr7,chr9,chr10,chr16,chr17	chr2,chr4,chr5,chr7,chr9,chr10,chr16,chr17,chr20
HG02083_hap1	chr2,chr7,chr9,chr10,chr16,chr17	chr2,chr5,chr7,chr9,chr10,chr16,chr17,chr20
HG02083_hap2	chr1,chr2,chr7,chr9,chr10,chr16,chr17	chr1,chr2,chr4,chr5,chr7,chr9,chr10,chr16,chr17,chr20
HG02106_hap1	chr1,chr2,chr7,chr10	chr1,chr2,chr3,chr4,chr5,chr7,chr10,chr20
HG02106_hap2	chr2,chr7,chr9,chr10,chr17	chr2,chr3,chr4,chr5,chr7,chr9,chr10,chr17,chr20
HG02109_hap1	chr7,chr9,chr10,chr16	chr3,chr4,chr5,chr7,chr9,chr10,chr16,chr20
HG02109_hap2	chr7,chr9,chr10,chr16	chr3,chr4,chr5,chr7,chr9,chr10,chr16,chr20
HG02129_hap1	chr7,chr9,chr10,chr16	chr4,chr7,chr9,chr10,chr16,chr20
HG02129_hap2	chr7,chr9,chr10,chr16	chr4,chr7,chr9,chr10,chr16,chr20
HG02132_hap1	chr2,chr7,chr9,chr10,chr16,chr17	chr2,chr4,chr5,chr7,chr9,chr10,chr16,chr17,chr20
HG02132_hap2	chr2,chr7,chr9,chr10,chr16,chr17	chr2,chr4,chr5,chr7,chr9,chr10,chr16,chr17,chr20
HG02135_hap1	chr7,chr9,chr10,chr16	chr5,chr7,chr9,chr10,chr16,chr20
HG02135_hap2	chr7,chr9,chr10,chr16	chr5,chr7,chr9,chr10,chr16,chr20
HG02145_hap1	chr2,chr7,chr9,chr10,chr16,chr17	chr2,chr3,chr5,chr7,chr9,chr10,chr16,chr17,chr20
HG02145_hap2	chr2,chr7,chr9,chr10,chr16,chr17	chr2,chr3,chr5,chr7,chr9,chr10,chr16,chr17,chr20
