sample	hap	chromosome	t2t_pass	in_filtered_fasta	status	HSat2_raw_regions	HSat3_raw_regions
HG00126	HG00126_hap1	chr2	1	1	EXCLUDE_annotation_incomplete_or_missing_input	0	0
HG00126	HG00126_hap1	chr20	1	1	EXCLUDE_annotation_incomplete_or_missing_input	0	0
HG00126	HG00126_hap1	chr3	1	1	EXCLUDE_annotation_incomplete_or_missing_input	0	0
HG00126	HG00126_hap1	chr4	1	1	EXCLUDE_annotation_incomplete_or_missing_input	0	0
HG00126	HG00126_hap1	chr5	1	1	EXCLUDE_annotation_incomplete_or_missing_input	0	0
HG00126	HG00126_hap1	chr6	1	1	EXCLUDE_annotation_incomplete_or_missing_input	0	0
HG00126	HG00126_hap1	chr7	1	1	EXCLUDE_annotation_incomplete_or_missing_input	0	0
HG00126	HG00126_hap1	chr8	1	1	EXCLUDE_annotation_incomplete_or_missing_input	0	0
HG00126	HG00126_hap1	chr9	1	1	EXCLUDE_annotation_incomplete_or_missing_input	0	0
HG00126	HG00126_hap2	chr1	1	1	PASS	7	4
HG00126	HG00126_hap2	chr10	1	1	PASS	4	6
HG00126	HG00126_hap2	chr11	1	1	PASS	0	0
HG00126	HG00126_hap2	chr12	1	1	PASS	0	0
HG00126	HG00126_hap2	chr16	1	1	PASS	19	5
HG00126	HG00126_hap2	chr19	1	1	PASS	0	0
HG00126	HG00126_hap2	chr2	1	1	PASS	11	4
HG00126	HG00126_hap2	chr20	1	1	PASS	0	3
HG00126	HG00126_hap2	chr3	1	1	PASS	0	1
HG00126	HG00126_hap2	chr4	1	1	PASS	0	2
HG00126	HG00126_hap2	chr5	1	1	PASS	0	1
HG00126	HG00126_hap2	chr6	1	1	PASS	0	0
HG00126	HG00126_hap2	chr7	1	1	PASS	22	12
HG00126	HG00126_hap2	chr8	1	1	PASS	0	0
HG00126	HG00126_hap2	chr9	1	1	PASS	1	144
HG00126	HG00126_hap2	chrX	1	1	PASS	0	0
HG00128	HG00128_hap1	chr10	1	1	PASS	4	6
HG00128	HG00128_hap1	chr11	1	1	PASS	0	0
HG00128	HG00128_hap1	chr12	1	1	PASS	0	0
HG00128	HG00128_hap1	chr18	1	1	PASS	0	0
HG00128	HG00128_hap1	chr19	1	1	PASS	0	0
HG00128	HG00128_hap1	chr2	1	1	PASS	11	4
HG00128	HG00128_hap1	chr20	1	1	PASS	0	3
HG00128	HG00128_hap1	chr3	1	1	PASS	0	1
HG00128	HG00128_hap1	chr4	1	1	PASS	0	2
HG00128	HG00128_hap1	chr5	1	1	PASS	0	1
HG00128	HG00128_hap1	chr6	1	1	PASS	0	0
HG00128	HG00128_hap1	chr7	1	1	PASS	22	17
HG00128	HG00128_hap1	chr8	1	1	PASS	0	0
HG00128	HG00128_hap1	chr9	1	1	PASS	1	122
HG00128	HG00128_hap1	chrX	1	1	PASS	0	0
HG00128	HG00128_hap2	chr10	1	1	PASS	4	6
HG00128	HG00128_hap2	chr11	1	1	PASS	0	0
HG00128	HG00128_hap2	chr12	1	1	PASS	0	0
HG00128	HG00128_hap2	chr16	1	1	PASS	19	5
HG00128	HG00128_hap2	chr17	1	1	PASS	2	5
HG00128	HG00128_hap2	chr18	1	1	PASS	0	0
HG00128	HG00128_hap2	chr19	1	1	PASS	0	0
HG00128	HG00128_hap2	chr2	1	1	PASS	11	4
HG00128	HG00128_hap2	chr20	1	1	PASS	0	3
HG00128	HG00128_hap2	chr3	1	1	PASS	0	1
HG00128	HG00128_hap2	chr4	1	1	PASS	0	2
HG00128	HG00128_hap2	chr5	1	1	PASS	0	1
HG00128	HG00128_hap2	chr6	1	1	PASS	0	0
HG00128	HG00128_hap2	chr7	1	1	PASS	20	15
HG00128	HG00128_hap2	chr8	1	1	PASS	0	0
HG00128	HG00128_hap2	chr9	1	1	PASS	1	91
HG00128	HG00128_hap2	chrX	1	1	PASS	0	0
HG00133	HG00133_hap1	chr1	1	1	PASS	7	4
HG00133	HG00133_hap1	chr11	1	1	PASS	0	0
HG00133	HG00133_hap1	chr12	1	1	PASS	0	0
HG00133	HG00133_hap1	chr16	1	1	PASS	20	6
HG00133	HG00133_hap1	chr17	1	1	PASS	2	5
HG00133	HG00133_hap1	chr19	1	1	PASS	0	0
HG00133	HG00133_hap1	chr2	1	1	PASS	11	4
HG00133	HG00133_hap1	chr20	1	1	PASS	0	3
HG00133	HG00133_hap1	chr3	1	1	PASS	0	1
HG00133	HG00133_hap1	chr4	1	1	PASS	0	2
HG00133	HG00133_hap1	chr5	1	1	PASS	0	1
HG00133	HG00133_hap1	chr6	1	1	PASS	0	0
HG00133	HG00133_hap1	chr7	1	1	PASS	21	13
HG00133	HG00133_hap1	chr8	1	1	PASS	0	0
HG00133	HG00133_hap1	chrX	1	1	PASS	0	0
HG00133	HG00133_hap2	chr1	1	1	PASS	7	5
HG00133	HG00133_hap2	chr10	1	1	PASS	4	6
HG00133	HG00133_hap2	chr11	1	1	PASS	0	0
HG00133	HG00133_hap2	chr12	1	1	PASS	0	0
HG00133	HG00133_hap2	chr16	1	1	PASS	17	3
HG00133	HG00133_hap2	chr17	1	1	PASS	2	5
HG00133	HG00133_hap2	chr18	1	1	PASS	0	0
HG00133	HG00133_hap2	chr19	1	1	PASS	0	0
HG00133	HG00133_hap2	chr2	1	1	PASS	11	4
HG00133	HG00133_hap2	chr20	1	1	PASS	0	3
HG00133	HG00133_hap2	chr3	1	1	PASS	0	1
HG00133	HG00133_hap2	chr4	1	1	PASS	0	2
HG00133	HG00133_hap2	chr5	1	1	PASS	0	1
HG00133	HG00133_hap2	chr6	1	1	PASS	0	0
HG00133	HG00133_hap2	chr7	1	1	PASS	23	15
HG00133	HG00133_hap2	chr8	1	1	PASS	0	0
HG00133	HG00133_hap2	chrX	1	1	PASS	0	0
HG00140	HG00140_hap1	chr1	1	1	PASS	6	4
HG00140	HG00140_hap1	chr10	1	1	PASS	4	6
HG00140	HG00140_hap1	chr11	1	1	PASS	0	0
HG00140	HG00140_hap1	chr12	1	1	PASS	0	0
HG00140	HG00140_hap1	chr16	1	1	PASS	20	6
HG00140	HG00140_hap1	chr17	1	1	PASS	2	5
HG00140	HG00140_hap1	chr19	1	1	PASS	0	0
HG00140	HG00140_hap1	chr2	1	1	PASS	11	4
HG00140	HG00140_hap1	chr20	1	1	PASS	0	3
HG00140	HG00140_hap1	chr4	1	1	PASS	0	2
HG00140	HG00140_hap1	chr6	1	1	PASS	0	0
HG00140	HG00140_hap1	chr7	1	1	PASS	21	13
HG00140	HG00140_hap1	chr8	1	1	PASS	0	0
HG00140	HG00140_hap2	chr1	1	1	PASS	7	5
HG00140	HG00140_hap2	chr10	1	1	PASS	4	6
HG00140	HG00140_hap2	chr11	1	1	PASS	0	0
HG00140	HG00140_hap2	chr12	1	1	PASS	0	0
HG00140	HG00140_hap2	chr16	1	1	PASS	19	5
HG00140	HG00140_hap2	chr17	1	1	PASS	2	5
HG00140	HG00140_hap2	chr19	1	1	PASS	0	0
HG00140	HG00140_hap2	chr2	1	1	PASS	11	4
HG00140	HG00140_hap2	chr20	1	1	PASS	0	3
HG00140	HG00140_hap2	chr3	1	1	PASS	0	1
HG00140	HG00140_hap2	chr4	1	1	PASS	0	2
HG00140	HG00140_hap2	chr5	1	1	PASS	0	1
HG00140	HG00140_hap2	chr6	1	1	PASS	0	0
HG00140	HG00140_hap2	chr7	1	1	PASS	23	12
HG00140	HG00140_hap2	chr8	1	1	PASS	0	0
HG00140	HG00140_hap2	chr9	1	1	PASS	1	154
HG00140	HG00140_hap2	chrX	1	1	PASS	0	0
HG00146	HG00146_hap1	chr10	1	1	PASS	4	6
HG00146	HG00146_hap1	chr11	1	1	PASS	0	0
HG00146	HG00146_hap1	chr12	1	1	PASS	0	0
HG00146	HG00146_hap1	chr16	1	1	PASS	18	3
HG00146	HG00146_hap1	chr19	1	1	PASS	0	0
HG00146	HG00146_hap1	chr2	1	1	PASS	11	4
HG00146	HG00146_hap1	chr20	1	1	PASS	0	3
HG00146	HG00146_hap1	chr4	1	1	PASS	0	2
HG00146	HG00146_hap1	chr5	1	1	PASS	0	1
HG00146	HG00146_hap1	chr6	1	1	PASS	0	0
HG00146	HG00146_hap1	chr7	1	1	PASS	23	12
HG00146	HG00146_hap1	chr8	1	1	PASS	0	0
HG00146	HG00146_hap1	chrX	1	1	PASS	0	0
HG00146	HG00146_hap2	chr10	1	1	PASS	4	6
HG00146	HG00146_hap2	chr11	1	1	PASS	0	0
HG00146	HG00146_hap2	chr12	1	1	PASS	0	0
HG00146	HG00146_hap2	chr16	1	1	PASS	19	5
HG00146	HG00146_hap2	chr17	1	1	PASS	2	5
HG00146	HG00146_hap2	chr19	1	1	PASS	0	0
HG00146	HG00146_hap2	chr2	1	1	PASS	11	4
HG00146	HG00146_hap2	chr20	1	1	PASS	0	3
HG00146	HG00146_hap2	chr4	1	1	PASS	0	2
HG00146	HG00146_hap2	chr5	1	1	PASS	0	1
HG00146	HG00146_hap2	chr7	1	1	PASS	22	15
HG00146	HG00146_hap2	chr8	1	1	PASS	0	0
HG00146	HG00146_hap2	chrX	1	1	PASS	0	0
HG00171	HG00171_hap1	chr1	1	1	PASS	8	5
HG00171	HG00171_hap1	chr10	1	1	PASS	3	6
HG00171	HG00171_hap1	chr11	1	1	PASS	0	0
HG00171	HG00171_hap1	chr12	1	1	PASS	0	0
HG00171	HG00171_hap1	chr17	1	1	PASS	2	5
HG00171	HG00171_hap1	chr18	1	1	PASS	0	0
HG00171	HG00171_hap1	chr19	1	1	PASS	0	0
HG00171	HG00171_hap1	chr20	1	1	PASS	0	3
HG00171	HG00171_hap1	chr3	1	1	PASS	0	1
HG00171	HG00171_hap1	chr4	1	1	PASS	0	2
HG00171	HG00171_hap1	chr5	1	1	PASS	0	1
HG00171	HG00171_hap1	chr6	1	1	PASS	0	0
HG00171	HG00171_hap1	chr7	1	1	PASS	25	21
HG00171	HG00171_hap1	chr8	1	1	PASS	0	0
HG00171	HG00171_hap1	chr9	1	1	PASS	1	172
HG00171	HG00171_hap1	chrX	1	1	PASS	0	0
HG00171	HG00171_hap2	chr1	1	1	PASS	11	5
HG00171	HG00171_hap2	chr10	1	1	PASS	4	6
HG00171	HG00171_hap2	chr11	1	1	PASS	0	0
HG00171	HG00171_hap2	chr12	1	1	PASS	0	0
HG00171	HG00171_hap2	chr16	1	1	PASS	20	6
HG00171	HG00171_hap2	chr17	1	1	PASS	2	5
HG00171	HG00171_hap2	chr18	1	1	PASS	0	0
HG00171	HG00171_hap2	chr19	1	1	PASS	0	0
HG00171	HG00171_hap2	chr20	1	1	PASS	0	3
HG00171	HG00171_hap2	chr3	1	1	PASS	0	1
HG00171	HG00171_hap2	chr4	1	1	PASS	0	2
HG00171	HG00171_hap2	chr5	1	1	PASS	0	1
HG00171	HG00171_hap2	chr6	1	1	PASS	0	0
HG00171	HG00171_hap2	chr7	1	1	PASS	24	18
HG00171	HG00171_hap2	chr8	1	1	PASS	0	0
HG00171	HG00171_hap2	chrX	1	1	PASS	0	0
HG002	hg002v1.1_hap1	chr1	1	1	PASS	8	4
HG002	hg002v1.1_hap1	chr10	1	1	PASS	4	6
HG002	hg002v1.1_hap1	chr11	1	1	PASS	0	0
HG002	hg002v1.1_hap1	chr12	1	1	PASS	0	0
HG002	hg002v1.1_hap1	chr16	1	1	PASS	20	6
HG002	hg002v1.1_hap1	chr17	1	1	PASS	2	5
HG002	hg002v1.1_hap1	chr18	1	1	PASS	0	0
HG002	hg002v1.1_hap1	chr19	1	1	PASS	0	0
HG002	hg002v1.1_hap1	chr2	1	1	PASS	11	4
HG002	hg002v1.1_hap1	chr20	1	1	PASS	0	3
HG002	hg002v1.1_hap1	chr3	1	1	PASS	0	1
HG002	hg002v1.1_hap1	chr4	1	1	PASS	0	2
HG002	hg002v1.1_hap1	chr5	1	1	PASS	0	1
HG002	hg002v1.1_hap1	chr6	1	1	PASS	0	0
HG002	hg002v1.1_hap1	chr7	1	1	PASS	23	16
HG002	hg002v1.1_hap1	chr8	1	1	PASS	0	0
HG002	hg002v1.1_hap1	chr9	1	1	PASS	1	170
HG002	hg002v1.1_hap1	chrX	1	1	PASS	0	0
HG002	hg002v1.1_hap2	chr1	1	1	PASS	6	5
HG002	hg002v1.1_hap2	chr10	1	1	PASS	4	6
HG002	hg002v1.1_hap2	chr11	1	1	PASS	0	0
HG002	hg002v1.1_hap2	chr12	1	1	PASS	0	0
HG002	hg002v1.1_hap2	chr16	1	1	PASS	20	6
HG002	hg002v1.1_hap2	chr17	1	1	PASS	2	5
HG002	hg002v1.1_hap2	chr18	1	1	PASS	0	0
HG002	hg002v1.1_hap2	chr19	1	1	PASS	0	0
HG002	hg002v1.1_hap2	chr2	1	1	PASS	11	4
HG002	hg002v1.1_hap2	chr20	1	1	PASS	0	3
HG002	hg002v1.1_hap2	chr3	1	1	PASS	0	1
HG002	hg002v1.1_hap2	chr4	1	1	PASS	0	2
HG002	hg002v1.1_hap2	chr5	1	1	PASS	0	1
HG002	hg002v1.1_hap2	chr6	1	1	PASS	0	0
HG002	hg002v1.1_hap2	chr7	1	1	PASS	21	15
HG002	hg002v1.1_hap2	chr8	1	1	PASS	0	0
HG002	hg002v1.1_hap2	chr9	1	1	PASS	1	91
HG002	hg002v1.1_hap2	chrY	1	1	PASS	1	49
HG00232	HG00232_hap1	chr1	1	1	PASS	7	4
HG00232	HG00232_hap1	chr10	1	1	PASS	4	6
HG00232	HG00232_hap1	chr11	1	1	PASS	0	0
HG00232	HG00232_hap1	chr12	1	1	PASS	0	0
HG00232	HG00232_hap1	chr17	1	1	PASS	2	5
HG00232	HG00232_hap1	chr19	1	1	PASS	0	0
HG00232	HG00232_hap1	chr2	1	1	PASS	11	4
HG00232	HG00232_hap1	chr20	1	1	PASS	0	3
HG00232	HG00232_hap1	chr3	1	1	PASS	0	1
HG00232	HG00232_hap1	chr5	1	1	PASS	0	1
HG00232	HG00232_hap1	chr7	1	1	PASS	22	18
HG00232	HG00232_hap1	chr8	1	1	PASS	0	0
HG00232	HG00232_hap1	chr9	1	1	PASS	1	129
HG00232	HG00232_hap1	chrX	1	1	PASS	0	0
HG00232	HG00232_hap2	chr1	1	1	PASS	7	5
HG00232	HG00232_hap2	chr10	1	1	PASS	4	6
HG00232	HG00232_hap2	chr11	1	1	PASS	0	0
HG00232	HG00232_hap2	chr12	1	1	PASS	0	0
HG00232	HG00232_hap2	chr17	1	1	PASS	2	5
HG00232	HG00232_hap2	chr19	1	1	PASS	0	0
HG00232	HG00232_hap2	chr2	1	1	PASS	11	4
HG00232	HG00232_hap2	chr20	1	1	PASS	0	3
HG00232	HG00232_hap2	chr3	1	1	PASS	0	1
HG00232	HG00232_hap2	chr5	1	1	PASS	0	1
HG00232	HG00232_hap2	chr7	1	1	PASS	24	24
HG00232	HG00232_hap2	chr8	1	1	PASS	0	0
HG00232	HG00232_hap2	chr9	1	1	PASS	1	130
HG00232	HG00232_hap2	chrX	1	1	PASS	0	0
HG00235	HG00235_hap1	chr1	1	1	PASS	7	5
HG00235	HG00235_hap1	chr10	1	1	PASS	4	6
HG00235	HG00235_hap1	chr11	1	1	PASS	0	0
HG00235	HG00235_hap1	chr12	1	1	PASS	0	0
HG00235	HG00235_hap1	chr16	1	1	PASS	20	6
HG00235	HG00235_hap1	chr17	1	1	PASS	2	5
HG00235	HG00235_hap1	chr19	1	1	PASS	0	0
HG00235	HG00235_hap1	chr2	1	1	PASS	11	4
HG00235	HG00235_hap1	chr20	1	1	PASS	0	3
HG00235	HG00235_hap1	chr4	1	1	PASS	0	2
HG00235	HG00235_hap1	chr5	1	1	PASS	0	1
HG00235	HG00235_hap1	chr7	1	1	PASS	23	22
HG00235	HG00235_hap1	chr8	1	1	PASS	0	0
HG00235	HG00235_hap1	chr9	1	1	PASS	1	85
HG00235	HG00235_hap1	chrX	1	1	PASS	0	0
HG00235	HG00235_hap2	chr1	1	1	PASS	5	0
HG00235	HG00235_hap2	chr10	1	1	PASS	4	6
HG00235	HG00235_hap2	chr11	1	1	PASS	0	0
HG00235	HG00235_hap2	chr12	1	1	PASS	0	0
HG00235	HG00235_hap2	chr16	1	1	PASS	20	6
HG00235	HG00235_hap2	chr17	1	1	PASS	2	5
HG00235	HG00235_hap2	chr19	1	1	PASS	0	0
HG00235	HG00235_hap2	chr2	1	1	PASS	11	4
HG00235	HG00235_hap2	chr20	1	1	PASS	0	3
HG00235	HG00235_hap2	chr4	1	1	PASS	0	2
HG00235	HG00235_hap2	chr5	1	1	PASS	0	1
HG00235	HG00235_hap2	chr7	1	1	PASS	23	18
HG00235	HG00235_hap2	chr8	1	1	PASS	0	0
HG00235	HG00235_hap2	chr9	1	1	PASS	1	137
HG00235	HG00235_hap2	chrX	1	1	PASS	0	0
HG00253	HG00253_hap1	chr1	1	1	PASS	5	0
HG00253	HG00253_hap1	chr10	1	1	PASS	4	8
HG00253	HG00253_hap1	chr11	1	1	PASS	0	0
HG00253	HG00253_hap1	chr12	1	1	PASS	0	0
HG00253	HG00253_hap1	chr19	1	1	PASS	0	0
HG00253	HG00253_hap1	chr2	1	1	PASS	11	4
HG00253	HG00253_hap1	chr3	1	1	PASS	0	1
HG00253	HG00253_hap1	chr6	1	1	PASS	0	0
HG00253	HG00253_hap1	chr7	1	1	PASS	22	13
HG00253	HG00253_hap1	chr8	1	1	PASS	0	0
HG00253	HG00253_hap1	chrX	1	1	PASS	0	0
HG00253	HG00253_hap2	chr10	1	1	PASS	4	6
HG00253	HG00253_hap2	chr11	1	1	PASS	0	0
HG00253	HG00253_hap2	chr12	1	1	PASS	0	0
HG00253	HG00253_hap2	chr19	1	1	PASS	0	0
HG00253	HG00253_hap2	chr2	1	1	PASS	11	4
HG00253	HG00253_hap2	chr6	1	1	PASS	0	0
HG00253	HG00253_hap2	chr7	1	1	PASS	20	14
HG00253	HG00253_hap2	chr8	1	1	PASS	0	0
HG00253	HG00253_hap2	chrX	1	1	PASS	0	0
HG00268	HG00268_hap1	chr1	1	1	PASS	8	5
HG00268	HG00268_hap1	chr10	1	1	PASS	4	6
HG00268	HG00268_hap1	chr11	1	1	PASS	0	0
HG00268	HG00268_hap1	chr12	1	1	PASS	0	0
HG00268	HG00268_hap1	chr16	1	1	PASS	17	3
HG00268	HG00268_hap1	chr17	1	1	PASS	2	5
HG00268	HG00268_hap1	chr18	1	1	PASS	0	0
HG00268	HG00268_hap1	chr19	1	1	PASS	0	0
HG00268	HG00268_hap1	chr2	1	1	PASS	11	4
HG00268	HG00268_hap1	chr3	1	1	PASS	0	1
HG00268	HG00268_hap1	chr4	1	1	PASS	0	2
HG00268	HG00268_hap1	chr5	1	1	PASS	0	1
HG00268	HG00268_hap1	chr6	1	1	PASS	0	0
HG00268	HG00268_hap1	chr7	1	1	PASS	21	16
HG00268	HG00268_hap1	chr8	1	1	PASS	0	0
HG00268	HG00268_hap1	chr9	1	1	PASS	1	158
HG00268	HG00268_hap2	chr10	1	1	PASS	4	6
HG00268	HG00268_hap2	chr11	1	1	PASS	0	0
HG00268	HG00268_hap2	chr12	1	1	PASS	0	0
HG00268	HG00268_hap2	chr16	1	1	PASS	18	3
HG00268	HG00268_hap2	chr17	1	1	PASS	2	5
HG00268	HG00268_hap2	chr18	1	1	PASS	0	0
HG00268	HG00268_hap2	chr19	1	1	PASS	0	0
HG00268	HG00268_hap2	chr2	1	1	PASS	11	4
HG00268	HG00268_hap2	chr20	1	1	PASS	0	3
HG00268	HG00268_hap2	chr3	1	1	PASS	0	1
HG00268	HG00268_hap2	chr5	1	1	PASS	0	1
HG00268	HG00268_hap2	chr6	1	1	PASS	0	0
HG00268	HG00268_hap2	chr7	1	1	PASS	21	15
HG00268	HG00268_hap2	chr8	1	1	PASS	0	0
HG00268	HG00268_hap2	chr9	1	1	PASS	1	119
HG00272	HG00272_hap1	chr1	1	1	PASS	7	5
HG00272	HG00272_hap1	chr10	1	1	PASS	4	6
HG00272	HG00272_hap1	chr11	1	1	PASS	0	0
HG00272	HG00272_hap1	chr12	1	1	PASS	0	0
HG00272	HG00272_hap1	chr16	1	1	PASS	19	5
HG00272	HG00272_hap1	chr17	1	1	PASS	2	5
HG00272	HG00272_hap1	chr18	1	1	PASS	0	0
HG00272	HG00272_hap1	chr19	1	1	PASS	0	0
