hap	chromosome	region	interval_count	bp	ACGT_bp	non_ACGT_bp	valid_16mer_starts
chm13v2.0	chr16	HSat23	15	12987156	12987156	0	12986931
chm13v2.0	chr16	ambiguous	0	0	0	0	0
chm13v2.0	chr16	background	16	83343218	83343218	0	83342981
chm13v2.0	chr17	HSat2	2	84274	84274	0	84244
chm13v2.0	chr17	HSat3	5	725121	725121	0	725046
chm13v2.0	chr17	HSat23	7	809395	809395	0	809290
chm13v2.0	chr17	ambiguous	0	0	0	0	0
chm13v2.0	chr17	background	8	83467502	83467502	0	83467395
chm13v2.0	chr18	HSat2	0	0	0	0	0
chm13v2.0	chr18	HSat3	0	0	0	0	0
chm13v2.0	chr18	HSat23	0	0	0	0	0
chm13v2.0	chr18	ambiguous	0	0	0	0	0
chm13v2.0	chr18	background	1	80542538	80542538	0	80542523
chm13v2.0	chr19	HSat2	0	0	0	0	0
chm13v2.0	chr19	HSat3	0	0	0	0	0
chm13v2.0	chr19	HSat23	0	0	0	0	0
chm13v2.0	chr19	ambiguous	0	0	0	0	0
chm13v2.0	chr19	background	1	61707364	61707364	0	61707349
chm13v2.0	chr2	HSat2	7	779701	779701	0	779596
chm13v2.0	chr2	HSat3	4	63033	63033	0	62973
chm13v2.0	chr2	HSat23	9	842734	842734	0	842599
chm13v2.0	chr2	ambiguous	0	0	0	0	0
chm13v2.0	chr2	background	10	241854018	241854018	0	241853885
chm13v2.0	chr20	HSat2	0	0	0	0	0
chm13v2.0	chr20	HSat3	3	975480	975480	0	975435
chm13v2.0	chr20	HSat23	3	975480	975480	0	975435
chm13v2.0	chr20	ambiguous	0	0	0	0	0
chm13v2.0	chr20	background	4	65234775	65234775	0	65234715
chm13v2.0	chr21	HSat2	0	0	0	0	0
chm13v2.0	chr21	HSat3	18	1600829	1600829	0	1600559
chm13v2.0	chr21	HSat23	18	1600829	1600829	0	1600559
chm13v2.0	chr21	ambiguous	0	0	0	0	0
chm13v2.0	chr21	background	19	43489853	43489853	0	43489568
chm13v2.0	chr22	HSat2	6	130610	130610	0	130520
chm13v2.0	chr22	HSat3	22	2259787	2259787	0	2259457
chm13v2.0	chr22	HSat23	26	2390397	2390397	0	2390007
chm13v2.0	chr22	ambiguous	0	0	0	0	0
chm13v2.0	chr22	background	27	48934529	48934529	0	48934124
chm13v2.0	chr3	HSat2	0	0	0	0	0
chm13v2.0	chr3	HSat3	1	151755	151755	0	151740
chm13v2.0	chr3	HSat23	1	151755	151755	0	151740
chm13v2.0	chr3	ambiguous	0	0	0	0	0
chm13v2.0	chr3	background	2	200954193	200954193	0	200954163
chm13v2.0	chr4	HSat2	0	0	0	0	0
chm13v2.0	chr4	HSat3	2	174895	174895	0	174865
chm13v2.0	chr4	HSat23	2	174895	174895	0	174865
chm13v2.0	chr4	ambiguous	0	0	0	0	0
chm13v2.0	chr4	background	3	193400050	193400050	0	193400005
chm13v2.0	chr5	HSat2	0	0	0	0	0
chm13v2.0	chr5	HSat3	1	400788	400788	0	400773
chm13v2.0	chr5	HSat23	1	400788	400788	0	400773
chm13v2.0	chr5	ambiguous	0	0	0	0	0
chm13v2.0	chr5	background	2	181644651	181644651	0	181644621
chm13v2.0	chr6	HSat2	0	0	0	0	0
chm13v2.0	chr6	HSat3	0	0	0	0	0
chm13v2.0	chr6	HSat23	0	0	0	0	0
chm13v2.0	chr6	ambiguous	0	0	0	0	0
chm13v2.0	chr6	background	1	172126628	172126628	0	172126613
chm13v2.0	chr7	HSat2	21	322394	322394	0	322079
chm13v2.0	chr7	HSat3	14	443966	443966	0	443756
chm13v2.0	chr7	HSat23	19	766360	766360	0	766075
chm13v2.0	chr7	ambiguous	0	0	0	0	0
chm13v2.0	chr7	background	20	159801068	159801068	0	159800779
chm13v2.0	chr8	HSat2	0	0	0	0	0
chm13v2.0	chr8	HSat3	0	0	0	0	0
chm13v2.0	chr8	HSat23	0	0	0	0	0
chm13v2.0	chr8	ambiguous	0	0	0	0	0
chm13v2.0	chr8	background	1	146259331	146259331	0	146259316
chm13v2.0	chr9	HSat2	1	39117	39117	0	39102
chm13v2.0	chr9	HSat3	57	27962978	27962978	0	27962123
chm13v2.0	chr9	HSat23	58	28002095	28002095	0	28001225
chm13v2.0	chr9	ambiguous	0	0	0	0	0
chm13v2.0	chr9	background	59	122615152	122615152	0	122614681
chm13v2.0	chrX	HSat2	0	0	0	0	0
chm13v2.0	chrX	HSat3	0	0	0	0	0
chm13v2.0	chrX	HSat23	0	0	0	0	0
chm13v2.0	chrX	ambiguous	0	0	0	0	0
chm13v2.0	chrX	background	1	154259566	154259566	0	154259551
chm13v2.0	chrY	HSat2	1	3727	3727	0	3712
chm13v2.0	chrY	HSat3	49	21716443	21716443	0	21715708
chm13v2.0	chrY	HSat23	50	21720170	21720170	0	21719420
chm13v2.0	chrY	ambiguous	0	0	0	0	0
chm13v2.0	chrY	background	51	40739859	40739859	0	40739094
HG00096_hap1	chr10	HSat2	3	381335	381335	0	381290
HG00096_hap1	chr10	HSat3	6	696461	696461	0	696371
HG00096_hap1	chr10	HSat23	7	1077796	1077796	0	1077691
HG00096_hap1	chr10	ambiguous	0	0	0	0	0
HG00096_hap1	chr10	background	8	135458875	135170662	288213	135170515
HG00096_hap1	chr11	HSat2	0	0	0	0	0
HG00096_hap1	chr11	HSat3	0	0	0	0	0
HG00096_hap1	chr11	HSat23	0	0	0	0	0
HG00096_hap1	chr11	ambiguous	0	0	0	0	0
HG00096_hap1	chr11	background	1	134836645	134729206	107439	134729176
HG00096_hap1	chr12	HSat2	0	0	0	0	0
HG00096_hap1	chr12	HSat3	0	0	0	0	0
HG00096_hap1	chr12	HSat23	0	0	0	0	0
HG00096_hap1	chr12	ambiguous	0	0	0	0	0
HG00096_hap1	chr12	background	1	133734599	133734599	0	133734584
HG00096_hap1	chr17	HSat2	2	91564	91564	0	91534
HG00096_hap1	chr17	HSat3	5	718091	718091	0	718016
HG00096_hap1	chr17	HSat23	7	809655	809655	0	809550
HG00096_hap1	chr17	ambiguous	0	0	0	0	0
HG00096_hap1	chr17	background	8	83133208	83007307	125901	83007185
HG00096_hap1	chr18	HSat2	0	0	0	0	0
HG00096_hap1	chr18	HSat3	0	0	0	0	0
HG00096_hap1	chr18	HSat23	0	0	0	0	0
HG00096_hap1	chr18	ambiguous	0	0	0	0	0
HG00096_hap1	chr18	background	1	79509046	79415521	93525	79415461
HG00096_hap1	chr19	HSat2	0	0	0	0	0
HG00096_hap1	chr19	HSat3	0	0	0	0	0
HG00096_hap1	chr19	HSat23	0	0	0	0	0
HG00096_hap1	chr19	ambiguous	0	0	0	0	0
HG00096_hap1	chr19	background	1	50836674	50836674	0	50836659
HG00096_hap1	chr20	HSat2	0	0	0	0	0
HG00096_hap1	chr20	HSat3	3	530302	530302	0	530257
HG00096_hap1	chr20	HSat23	3	530302	530302	0	530257
HG00096_hap1	chr20	ambiguous	0	0	0	0	0
HG00096_hap1	chr20	background	4	66008033	66008033	0	66007973
HG00096_hap1	chr3	HSat2	0	0	0	0	0
HG00096_hap1	chr3	HSat3	1	194138	194138	0	194123
HG00096_hap1	chr3	HSat23	1	194138	194138	0	194123
HG00096_hap1	chr3	ambiguous	0	0	0	0	0
HG00096_hap1	chr3	background	2	200415192	200415192	0	200415162
HG00096_hap1	chr4	HSat2	0	0	0	0	0
HG00096_hap1	chr4	HSat3	2	257015	257015	0	256985
HG00096_hap1	chr4	HSat23	2	257015	257015	0	256985
HG00096_hap1	chr4	ambiguous	0	0	0	0	0
HG00096_hap1	chr4	background	3	191068624	191068624	0	191068579
HG00096_hap1	chr5	HSat2	0	0	0	0	0
HG00096_hap1	chr5	HSat3	1	630809	630809	0	630794
HG00096_hap1	chr5	HSat23	1	630809	630809	0	630794
HG00096_hap1	chr5	ambiguous	0	0	0	0	0
HG00096_hap1	chr5	background	2	73017791	73017791	0	73017761
HG00096_hap1	chr6	HSat2	0	0	0	0	0
HG00096_hap1	chr6	HSat3	0	0	0	0	0
HG00096_hap1	chr6	HSat23	0	0	0	0	0
HG00096_hap1	chr6	ambiguous	0	0	0	0	0
HG00096_hap1	chr6	background	1	172467568	172467568	0	172467553
HG00096_hap1	chr8	HSat2	0	0	0	0	0
HG00096_hap1	chr8	HSat3	0	0	0	0	0
HG00096_hap1	chr8	HSat23	0	0	0	0	0
HG00096_hap1	chr8	ambiguous	0	0	0	0	0
HG00096_hap1	chr8	background	1	146853259	146853259	0	146853244
HG00096_hap1	chr9	HSat2	1	39117	39117	0	39102
HG00096_hap1	chr9	HSat3	35	14868636	14868636	0	14868111
HG00096_hap1	chr9	HSat23	36	14907753	14907753	0	14907213
HG00096_hap1	chr9	ambiguous	0	0	0	0	0
HG00096_hap1	chr9	background	37	123687160	123502887	184273	123502518
HG00096_hap2	chr1	HSat2	9	11750410	11750410	0	11750275
HG00096_hap2	chr1	HSat3	5	905268	905268	0	905193
HG00096_hap2	chr1	HSat23	14	12655678	12655678	0	12655468
HG00096_hap2	chr1	ambiguous	0	0	0	0	0
HG00096_hap2	chr1	background	15	234626980	233968606	658374	233968416
HG00096_hap2	chr10	HSat2	4	479857	479857	0	479797
HG00096_hap2	chr10	HSat3	6	700431	700431	0	700341
HG00096_hap2	chr10	HSat23	8	1180288	1180288	0	1180168
HG00096_hap2	chr10	ambiguous	0	0	0	0	0
HG00096_hap2	chr10	background	9	134193555	133910342	283213	133910177
HG00096_hap2	chr11	HSat2	0	0	0	0	0
HG00096_hap2	chr11	HSat3	0	0	0	0	0
HG00096_hap2	chr11	HSat23	0	0	0	0	0
HG00096_hap2	chr11	ambiguous	0	0	0	0	0
HG00096_hap2	chr11	background	1	134811519	134704080	107439	134704050
HG00096_hap2	chr12	HSat2	0	0	0	0	0
HG00096_hap2	chr12	HSat3	0	0	0	0	0
HG00096_hap2	chr12	HSat23	0	0	0	0	0
HG00096_hap2	chr12	ambiguous	0	0	0	0	0
HG00096_hap2	chr12	background	1	133630930	133630930	0	133630915
HG00096_hap2	chr17	HSat2	2	84274	84274	0	84244
HG00096_hap2	chr17	HSat3	5	709545	709545	0	709470
HG00096_hap2	chr17	HSat23	7	793819	793819	0	793714
HG00096_hap2	chr17	ambiguous	0	0	0	0	0
HG00096_hap2	chr17	background	8	81433487	81307586	125901	81307464
HG00096_hap2	chr18	HSat2	0	0	0	0	0
HG00096_hap2	chr18	HSat3	0	0	0	0	0
HG00096_hap2	chr18	HSat23	0	0	0	0	0
HG00096_hap2	chr18	ambiguous	0	0	0	0	0
HG00096_hap2	chr18	background	1	79450414	79360889	89525	79360829
HG00096_hap2	chr19	HSat2	0	0	0	0	0
HG00096_hap2	chr19	HSat3	0	0	0	0	0
HG00096_hap2	chr19	HSat23	0	0	0	0	0
HG00096_hap2	chr19	ambiguous	0	0	0	0	0
HG00096_hap2	chr19	background	1	61084714	61084714	0	61084699
HG00096_hap2	chr20	HSat2	0	0	0	0	0
HG00096_hap2	chr20	HSat3	3	592872	592872	0	592827
HG00096_hap2	chr20	HSat23	3	592872	592872	0	592827
HG00096_hap2	chr20	ambiguous	0	0	0	0	0
HG00096_hap2	chr20	background	4	65016116	65016116	0	65016056
HG00096_hap2	chr3	HSat2	0	0	0	0	0
HG00096_hap2	chr3	HSat3	1	194314	194314	0	194299
HG00096_hap2	chr3	HSat23	1	194314	194314	0	194299
HG00096_hap2	chr3	ambiguous	0	0	0	0	0
HG00096_hap2	chr3	background	2	186765981	186739256	26725	186739211
HG00096_hap2	chr4	HSat2	0	0	0	0	0
HG00096_hap2	chr4	HSat3	2	198342	198342	0	198312
HG00096_hap2	chr4	HSat23	2	198342	198342	0	198312
HG00096_hap2	chr4	ambiguous	0	0	0	0	0
HG00096_hap2	chr4	background	3	190544895	190544895	0	190544850
HG00096_hap2	chr5	HSat2	0	0	0	0	0
HG00096_hap2	chr5	HSat3	1	345210	345210	0	345195
HG00096_hap2	chr5	HSat23	1	345210	345210	0	345195
HG00096_hap2	chr5	ambiguous	0	0	0	0	0
HG00096_hap2	chr5	background	2	182267310	182267310	0	182267280
HG00096_hap2	chr6	HSat2	0	0	0	0	0
HG00096_hap2	chr6	HSat3	0	0	0	0	0
HG00096_hap2	chr6	HSat23	0	0	0	0	0
HG00096_hap2	chr6	ambiguous	0	0	0	0	0
HG00096_hap2	chr6	background	1	172287323	172287323	0	172287308
HG00096_hap2	chr7	HSat2	23	325292	325292	0	324947
HG00096_hap2	chr7	HSat3	13	461297	461297	0	461102
HG00096_hap2	chr7	HSat23	18	786589	786589	0	786319
HG00096_hap2	chr7	ambiguous	0	0	0	0	0
HG00096_hap2	chr7	background	19	159976003	159485524	490479	159485205
HG00096_hap2	chr8	HSat2	0	0	0	0	0
HG00096_hap2	chr8	HSat3	0	0	0	0	0
HG00096_hap2	chr8	HSat23	0	0	0	0	0
HG00096_hap2	chr8	ambiguous	0	0	0	0	0
HG00096_hap2	chr8	background	1	133699937	133699937	0	133699922
HG00096_hap2	chr9	HSat2	1	39117	39117	0	39102
HG00096_hap2	chr9	HSat3	34	12790113	12790113	0	12789603
HG00096_hap2	chr9	HSat23	35	12829230	12829230	0	12828705
HG00096_hap2	chr9	ambiguous	0	0	0	0	0
HG00096_hap2	chr9	background	36	123018616	123017616	1000	123017272
HG00096_hap2	chrX	HSat2	0	0	0	0	0
HG00096_hap2	chrX	HSat3	0	0	0	0	0
HG00096_hap2	chrX	HSat23	0	0	0	0	0
HG00096_hap2	chrX	ambiguous	0	0	0	0	0
HG00096_hap2	chrX	background	1	152825507	152807034	18473	152806989
HG00097_hap1	chr1	HSat2	7	14357678	14357678	0	14357573
HG00097_hap1	chr1	HSat3	5	928735	928735	0	928660
HG00097_hap1	chr1	HSat23	12	15286413	15286413	0	15286233
HG00097_hap1	chr1	ambiguous	0	0	0	0	0
HG00097_hap1	chr1	background	13	236275518	236275518	0	236275343
HG00097_hap1	chr10	HSat2	4	481042	481042	0	480982
HG00097_hap1	chr10	HSat3	8	855310	855310	0	855190
HG00097_hap1	chr10	HSat23	10	1336352	1336352	0	1336202
HG00097_hap1	chr10	ambiguous	0	0	0	0	0
HG00097_hap1	chr10	background	11	133241563	133241563	0	133241402
HG00097_hap1	chr11	HSat2	0	0	0	0	0
HG00097_hap1	chr11	HSat3	0	0	0	0	0
HG00097_hap1	chr11	HSat23	0	0	0	0	0
HG00097_hap1	chr11	ambiguous	0	0	0	0	0
HG00097_hap1	chr11	background	1	133951126	133951126	0	133951111
HG00097_hap1	chr12	HSat2	0	0	0	0	0
HG00097_hap1	chr12	HSat3	0	0	0	0	0
HG00097_hap1	chr12	HSat23	0	0	0	0	0
HG00097_hap1	chr12	ambiguous	0	0	0	0	0
HG00097_hap1	chr12	background	1	133730385	133730385	0	133730370
HG00097_hap1	chr16	HSat2	19	9231712	9231712	0	9231427
HG00097_hap1	chr16	HSat3	6	18018	18018	0	17928
HG00097_hap1	chr16	HSat23	15	9249730	9249730	0	9249505
HG00097_hap1	chr16	ambiguous	0	0	0	0	0
HG00097_hap1	chr16	background	16	83654659	83654659	0	83654422
HG00097_hap1	chr18	HSat2	0	0	0	0	0
HG00097_hap1	chr18	HSat3	0	0	0	0	0
HG00097_hap1	chr18	HSat23	0	0	0	0	0
HG00097_hap1	chr18	ambiguous	0	0	0	0	0
HG00097_hap1	chr18	background	1	78710895	78710895	0	78710880
HG00097_hap1	chr19	HSat2	0	0	0	0	0
HG00097_hap1	chr19	HSat3	0	0	0	0	0
HG00097_hap1	chr19	HSat23	0	0	0	0	0
HG00097_hap1	chr19	ambiguous	0	0	0	0	0
HG00097_hap1	chr19	background	1	61077493	61077493	0	61077478
HG00097_hap1	chr2	HSat2	7	513121	513121	0	513016
HG00097_hap1	chr2	HSat3	4	59631	59631	0	59571
HG00097_hap1	chr2	HSat23	9	572752	572752	0	572617
HG00097_hap1	chr2	ambiguous	0	0	0	0	0
HG00097_hap1	chr2	background	10	242181348	242181248	100	242181105
HG00097_hap1	chr20	HSat2	0	0	0	0	0
HG00097_hap1	chr20	HSat3	3	1228696	1228696	0	1228651
HG00097_hap1	chr20	HSat23	3	1228696	1228696	0	1228651
HG00097_hap1	chr20	ambiguous	0	0	0	0	0
HG00097_hap1	chr20	background	4	64777971	64776375	1596	64776300
HG00097_hap1	chr3	HSat2	0	0	0	0	0
HG00097_hap1	chr3	HSat3	1	194193	194193	0	194178
HG00097_hap1	chr3	HSat23	1	194193	194193	0	194178
HG00097_hap1	chr3	ambiguous	0	0	0	0	0
HG00097_hap1	chr3	background	2	201106777	201106677	100	201106632
HG00097_hap1	chr4	HSat2	0	0	0	0	0
HG00097_hap1	chr4	HSat3	2	286968	286968	0	286938
HG00097_hap1	chr4	HSat23	2	286968	286968	0	286938
HG00097_hap1	chr4	ambiguous	0	0	0	0	0
HG00097_hap1	chr4	background	3	61607221	61607221	0	61607176
HG00097_hap1	chr5	HSat2	0	0	0	0	0
HG00097_hap1	chr5	HSat3	1	407435	407435	0	407420
HG00097_hap1	chr5	HSat23	1	407435	407435	0	407420
HG00097_hap1	chr5	ambiguous	0	0	0	0	0
HG00097_hap1	chr5	background	2	182533493	182533493	0	182533463
HG00097_hap1	chr7	HSat2	22	322807	322807	0	322477
HG00097_hap1	chr7	HSat3	15	464912	464912	0	464687
HG00097_hap1	chr7	HSat23	20	787719	787719	0	787419
HG00097_hap1	chr7	ambiguous	0	0	0	0	0
HG00097_hap1	chr7	background	21	159453224	159453224	0	159452920
HG00097_hap1	chr8	HSat2	0	0	0	0	0
HG00097_hap1	chr8	HSat3	0	0	0	0	0
HG00097_hap1	chr8	HSat23	0	0	0	0	0
HG00097_hap1	chr8	ambiguous	0	0	0	0	0
HG00097_hap1	chr8	background	1	145118621	145118621	0	145118606
HG00097_hap1	chr9	HSat2	1	34938	34938	0	34923
HG00097_hap1	chr9	HSat3	37	12847575	12847575	0	12847020
HG00097_hap1	chr9	HSat23	38	12882513	12882513	0	12881943
HG00097_hap1	chr9	ambiguous	0	0	0	0	0
HG00097_hap1	chr9	background	39	123462714	123454200	8514	123453823
HG00097_hap1	chrX	HSat2	0	0	0	0	0
HG00097_hap1	chrX	HSat3	0	0	0	0	0
HG00097_hap1	chrX	HSat23	0	0	0	0	0
HG00097_hap1	chrX	ambiguous	0	0	0	0	0
HG00097_hap1	chrX	background	1	155617146	155595268	21878	155595208
HG00097_hap2	chr1	HSat2	8	12658782	12658782	0	12658662
HG00097_hap2	chr1	HSat3	5	918687	918687	0	918612
HG00097_hap2	chr1	HSat23	13	13577469	13577469	0	13577274
HG00097_hap2	chr1	ambiguous	0	0	0	0	0
HG00097_hap2	chr1	background	14	238899838	236904889	1994949	236904699
HG00097_hap2	chr10	HSat2	3	86099	86099	0	86054
HG00097_hap2	chr10	HSat3	6	508470	508470	0	508380
HG00097_hap2	chr10	HSat23	8	594569	594569	0	594449
HG00097_hap2	chr10	ambiguous	0	0	0	0	0
HG00097_hap2	chr10	background	9	134095173	134039047	56126	134038894
HG00097_hap2	chr11	HSat2	0	0	0	0	0
HG00097_hap2	chr11	HSat3	0	0	0	0	0
HG00097_hap2	chr11	HSat23	0	0	0	0	0
HG00097_hap2	chr11	ambiguous	0	0	0	0	0
HG00097_hap2	chr11	background	1	134888704	134888704	0	134888689
HG00097_hap2	chr12	HSat2	0	0	0	0	0
HG00097_hap2	chr12	HSat3	0	0	0	0	0
HG00097_hap2	chr12	HSat23	0	0	0	0	0
HG00097_hap2	chr12	ambiguous	0	0	0	0	0
HG00097_hap2	chr12	background	1	133732154	133732154	0	133732139
HG00097_hap2	chr18	HSat2	0	0	0	0	0
HG00097_hap2	chr18	HSat3	0	0	0	0	0
HG00097_hap2	chr18	HSat23	0	0	0	0	0
HG00097_hap2	chr18	ambiguous	0	0	0	0	0
HG00097_hap2	chr18	background	1	80317024	80316924	100	80316894
HG00097_hap2	chr19	HSat2	0	0	0	0	0
HG00097_hap2	chr19	HSat3	0	0	0	0	0
HG00097_hap2	chr19	HSat23	0	0	0	0	0
HG00097_hap2	chr19	ambiguous	0	0	0	0	0
HG00097_hap2	chr19	background	1	61125280	60983159	142121	60983129
HG00097_hap2	chr2	HSat2	7	809998	809998	0	809893
HG00097_hap2	chr2	HSat3	4	49076	49076	0	49016
HG00097_hap2	chr2	HSat23	9	859074	859074	0	858939
HG00097_hap2	chr2	ambiguous	0	0	0	0	0
HG00097_hap2	chr2	background	10	241516486	241450727	65759	241450564
HG00097_hap2	chr20	HSat2	0	0	0	0	0
HG00097_hap2	chr20	HSat3	3	873401	873401	0	873356
HG00097_hap2	chr20	HSat23	3	873401	873401	0	873356
HG00097_hap2	chr20	ambiguous	0	0	0	0	0
HG00097_hap2	chr20	background	4	67326130	67323589	2541	67323514
HG00097_hap2	chr3	HSat2	0	0	0	0	0
HG00097_hap2	chr3	HSat3	1	192906	192906	0	192891
HG00097_hap2	chr3	HSat23	1	192906	192906	0	192891
HG00097_hap2	chr3	ambiguous	0	0	0	0	0
HG00097_hap2	chr3	background	2	199598075	199598075	0	199598045
HG00097_hap2	chr5	HSat2	0	0	0	0	0
HG00097_hap2	chr5	HSat3	3	1763886	1763886	0	1763841
HG00097_hap2	chr5	HSat23	3	1763886	1763886	0	1763841
HG00097_hap2	chr5	ambiguous	0	0	0	0	0
HG00097_hap2	chr5	background	4	182754832	182731400	23432	182731325
HG00097_hap2	chr7	HSat2	20	297141	297141	0	296841
HG00097_hap2	chr7	HSat3	10	260762	260762	0	260612
HG00097_hap2	chr7	HSat23	16	557903	557903	0	557663
HG00097_hap2	chr7	ambiguous	0	0	0	0	0
HG00097_hap2	chr7	background	17	161563313	161540486	22827	161540182
HG00097_hap2	chr8	HSat2	0	0	0	0	0
HG00097_hap2	chr8	HSat3	0	0	0	0	0
HG00097_hap2	chr8	HSat23	0	0	0	0	0
HG00097_hap2	chr8	ambiguous	0	0	0	0	0
HG00097_hap2	chr8	background	1	148515942	148515842	100	148515812
HG00097_hap2	chr9	HSat2	1	39166	39166	0	39151
HG00097_hap2	chr9	HSat3	29	10218106	10218106	0	10217671
HG00097_hap2	chr9	HSat23	30	10257272	10257272	0	10256822
HG00097_hap2	chr9	ambiguous	0	0	0	0	0
HG00097_hap2	chr9	background	31	126275672	124920269	1355403	124919950
HG00097_hap2	chrX	HSat2	0	0	0	0	0
HG00097_hap2	chrX	HSat3	0	0	0	0	0
HG00097_hap2	chrX	HSat23	0	0	0	0	0
HG00097_hap2	chrX	ambiguous	0	0	0	0	0
HG00097_hap2	chrX	background	1	155051097	155051097	0	155051082
HG00099_hap1	chr10	HSat2	3	86099	86099	0	86054
HG00099_hap1	chr10	HSat3	6	508571	508571	0	508481
HG00099_hap1	chr10	HSat23	8	594670	594670	0	594550
HG00099_hap1	chr10	ambiguous	0	0	0	0	0
HG00099_hap1	chr10	background	9	133897485	133897485	0	133897362
HG00099_hap1	chr11	HSat2	0	0	0	0	0
HG00099_hap1	chr11	HSat3	0	0	0	0	0
HG00099_hap1	chr11	HSat23	0	0	0	0	0
HG00099_hap1	chr11	ambiguous	0	0	0	0	0
HG00099_hap1	chr11	background	1	136758242	136735250	22992	136735220
HG00099_hap1	chr12	HSat2	0	0	0	0	0
HG00099_hap1	chr12	HSat3	0	0	0	0	0
HG00099_hap1	chr12	HSat23	0	0	0	0	0
HG00099_hap1	chr12	ambiguous	0	0	0	0	0
HG00099_hap1	chr12	background	1	133645319	133645319	0	133645304
HG00099_hap1	chr16	HSat2	19	9483578	9483578	0	9483293
HG00099_hap1	chr16	HSat3	6	18182	18182	0	18092
HG00099_hap1	chr16	HSat23	15	9501760	9501760	0	9501535
HG00099_hap1	chr16	ambiguous	0	0	0	0	0
HG00099_hap1	chr16	background	16	83915180	83915180	0	83914943
HG00099_hap1	chr17	HSat2	2	84274	84274	0	84244
HG00099_hap1	chr17	HSat3	5	675540	675540	0	675465
HG00099_hap1	chr17	HSat23	7	759814	759814	0	759709
HG00099_hap1	chr17	ambiguous	0	0	0	0	0
HG00099_hap1	chr17	background	8	37609839	37609739	100	37609617
HG00099_hap1	chr18	HSat2	0	0	0	0	0
HG00099_hap1	chr18	HSat3	0	0	0	0	0
HG00099_hap1	chr18	HSat23	0	0	0	0	0
HG00099_hap1	chr18	ambiguous	0	0	0	0	0
HG00099_hap1	chr18	background	1	80476601	80476601	0	80476586
HG00099_hap1	chr19	HSat2	0	0	0	0	0
HG00099_hap1	chr19	HSat3	0	0	0	0	0
HG00099_hap1	chr19	HSat23	0	0	0	0	0
HG00099_hap1	chr19	ambiguous	0	0	0	0	0
HG00099_hap1	chr19	background	1	62336960	62336960	0	62336945
HG00099_hap1	chr2	HSat2	7	704264	704264	0	704159
HG00099_hap1	chr2	HSat3	4	59439	59439	0	59379
HG00099_hap1	chr2	HSat23	9	763703	763703	0	763568
HG00099_hap1	chr2	ambiguous	0	0	0	0	0
HG00099_hap1	chr2	background	10	241767176	241767176	0	241767043
HG00099_hap1	chr20	HSat2	0	0	0	0	0
HG00099_hap1	chr20	HSat3	3	1017454	1017454	0	1017409
HG00099_hap1	chr20	HSat23	3	1017454	1017454	0	1017409
HG00099_hap1	chr20	ambiguous	0	0	0	0	0
HG00099_hap1	chr20	background	4	65439743	65439743	0	65439683
HG00099_hap1	chr4	HSat2	0	0	0	0	0
HG00099_hap1	chr4	HSat3	2	268430	268430	0	268400
HG00099_hap1	chr4	HSat23	2	268430	268430	0	268400
HG00099_hap1	chr4	ambiguous	0	0	0	0	0
HG00099_hap1	chr4	background	3	190984039	190983939	100	190983879
HG00099_hap1	chr5	HSat2	0	0	0	0	0
