kmer_id	HSat3_group	chromosome	available_haps	HSat3_measurable_haps	median_HSat3_hits	mean_HSat3_hits	pooled_HSat3_density_per_M	presence_ge10_fraction
k16_3e476af8	G5	chr10	47	47	31.0	32.851063829787236	52.43388838883124	0.9574468085106383
k16_3e476af8	G5	chr11	46	0				
k16_3e476af8	G5	chr12	44	0				
k16_3e476af8	G5	chr16	33	33	0.0	0.0	0.0	0.0
k16_3e476af8	G5	chr17	39	39	7.0	8.76923076923077	9.745065662936302	0.20512820512820512
k16_3e476af8	G5	chr18	39	0				
k16_3e476af8	G5	chr19	46	0				
k16_3e476af8	G5	chr20	47	47	31.0	28.51063829787234	24.500406990156268	0.9787234042553191
k16_3e476af8	G5	chrX	28	0				
k16_3e476af8	G5	chrY	1	1	0.0	0.0	0.0	0.0
k16_3e476af8	G6	chr1	34	34	42.5	36.85294117647059	45.870478170265066	0.8529411764705882
k16_3e476af8	G6	chr2	39	38	2.0	1.868421052631579	32.65571948828948	0.0
k16_3e476af8	G6	chr3	34	34	2.0	1.7352941176470589	9.411884817672647	0.0
k16_3e476af8	G6	chr4	34	34	2.5	2.5294117647058822	11.514484015887845	0.0
k16_3e476af8	G6	chr5	47	47	385.0	389.25531914893617	561.7731014564063	1.0
k16_3e476af8	G6	chr6	40	0				
k16_3e476af8	G6	chr7	47	47	18.0	21.21276595744681	54.16061343495031	0.6808510638297872
k16_3e476af8	G6	chr8	47	0				
k16_3e476af8	G6	chr9	39	39	12656.0	13467.128205128205	1019.5830439234813	1.0
k16_3e476af8	G6	chr10	47	47	27.0	31.02127659574468	48.66898179249329	1.0
k16_3e476af8	G6	chr11	47	0				
k16_3e476af8	G6	chr12	47	0				
k16_3e476af8	G6	chr16	41	41	0.0	0.0	0.0	0.0
k16_3e476af8	G6	chr17	28	28	6.5	8.642857142857142	10.583970576561796	0.2857142857142857
k16_3e476af8	G6	chr18	25	0				
k16_3e476af8	G6	chr19	46	0				
k16_3e476af8	G6	chr20	47	47	22.0	20.72340425531915	35.431478285669385	0.9574468085106383
k16_3e476af8	G6	chrX	30	0				
k16_3e476af8	G7	chr1	84	81	40.0	30.061728395061728	40.73078488423199	0.7037037037037037
k16_3e476af8	G7	chr2	104	103	2.0	1.9320388349514563	33.089986138787715	0.0
k16_3e476af8	G7	chr3	88	86	2.0	1.7209302325581395	9.585639985901338	0.0
k16_3e476af8	G7	chr4	91	91	3.0	2.4945054945054945	11.369445162060671	0.0
k16_3e476af8	G7	chr5	126	126	385.0	382.64285714285717	558.536173456894	1.0
k16_3e476af8	G7	chr6	103	0				
k16_3e476af8	G7	chr7	126	126	18.0	19.325396825396826	51.72036153531012	0.6587301587301587
k16_3e476af8	G7	chr8	121	0				
k16_3e476af8	G7	chr9	101	101	14021.0	14583.069306930693	1027.8942733111685	1.0
k16_3e476af8	G7	chr10	126	126	27.0	30.103174603174605	47.06103583089298	0.9841269841269841
k16_3e476af8	G7	chr11	125	0				
k16_3e476af8	G7	chr12	126	0				
k16_3e476af8	G7	chr16	109	109	0.0	0.0	0.0	0.0
k16_3e476af8	G7	chr17	77	77	6.0	8.03896103896104	10.307147672219783	0.2077922077922078
k16_3e476af8	G7	chr18	76	0				
k16_3e476af8	G7	chr19	121	0				
k16_3e476af8	G7	chr20	126	126	50.0	49.63492063492063	44.82094548286643	1.0
k16_3e476af8	G7	chrX	80	0				
k16_3e476af8	NA	chr1	73	71	40.0	30.112676056338028	41.35279578747696	0.7746478873239436
k16_3e476af8	NA	chr2	92	92	2.0	1.858695652173913	32.156045957195225	0.0
k16_3e476af8	NA	chr3	80	80	2.0	1.7625	9.501208135891266	0.0
k16_3e476af8	NA	chr4	93	93	2.0	2.4408602150537635	11.516973659970942	0.010752688172043012
k16_3e476af8	NA	chr5	115	114	292.5	278.5	533.2795837768721	1.0
k16_3e476af8	NA	chr6	101	0				
k16_3e476af8	NA	chr7	60	60	17.5	17.933333333333334	48.49124406314623	0.6666666666666666
k16_3e476af8	NA	chr8	127	0				
k16_3e476af8	NA	chr9	98	97	14484.0	15097.948453608247	1030.2312975947716	1.0
k16_3e476af8	NA	chr10	119	118	31.0	32.36440677966102	50.183316277269405	0.9915254237288136
k16_3e476af8	NA	chr11	130	0				
k16_3e476af8	NA	chr12	126	0				
k16_3e476af8	NA	chr16	103	102	0.0	0.0	0.0	0.0
k16_3e476af8	NA	chr17	65	65	7.0	7.523076923076923	9.136586588440046	0.18461538461538463
k16_3e476af8	NA	chr18	84	0				
k16_3e476af8	NA	chr19	128	0				
k16_3e476af8	NA	chr20	84	84	39.0	36.13095238095238	34.65878302495258	0.9285714285714286
k16_3e476af8	NA	chrX	91	0				
k16_3e476af8	NA	chrY	1	1	0.0	0.0	0.0	0.0
k16_a0d0562c	G1	chr1	40	39	15.0	15.102564102564102	19.008302335923496	1.0
k16_a0d0562c	G1	chr2	53	53	0.0	0.0	0.0	0.0
k16_a0d0562c	G1	chr3	35	35	1.0	0.9428571428571428	4.768646237689849	0.0
k16_a0d0562c	G1	chr4	48	48	5.0	5.979166666666667	28.383139149476985	0.08333333333333333
k16_a0d0562c	G1	chr5	59	59	21.0	22.423728813559322	59.25063929558827	1.0
k16_a0d0562c	G1	chr6	40	0				
k16_a0d0562c	G1	chr7	59	59	10.0	11.627118644067796	26.10232476588574	0.6779661016949152
k16_a0d0562c	G1	chr8	53	0				
k16_a0d0562c	G1	chr9	49	49	8906.0	8700.816326530612	609.2412224814818	1.0
k16_a0d0562c	G1	chr10	59	59	43.0	43.91525423728814	67.8365428884957	1.0
k16_a0d0562c	G1	chr11	57	0				
k16_a0d0562c	G1	chr12	58	0				
k16_a0d0562c	G1	chr16	45	43	0.0	0.0	0.0	0.0
k16_a0d0562c	G1	chr17	42	42	4.0	3.9285714285714284	4.402215664492044	0.023809523809523808
k16_a0d0562c	G1	chr18	44	0				
k16_a0d0562c	G1	chr19	55	0				
k16_a0d0562c	G1	chr20	59	59	25.0	26.28813559322034	20.330858972106373	1.0
k16_a0d0562c	G1	chrX	44	1	1.0	1.0	2.339405650600409	0.0
k16_a0d0562c	G2	chr1	35	35	15.0	15.142857142857142	21.58579602489828	1.0
k16_a0d0562c	G2	chr2	41	39	0.0	0.02564102564102564	0.43215417186512123	0.0
k16_a0d0562c	G2	chr3	47	47	1.0	0.9574468085106383	5.318994270379371	0.0
k16_a0d0562c	G2	chr4	39	39	5.0	5.615384615384615	25.32125328410296	0.02564102564102564
k16_a0d0562c	G2	chr5	54	54	16.5	18.87037037037037	56.47448364781049	0.9814814814814815
k16_a0d0562c	G2	chr6	44	0				
k16_a0d0562c	G2	chr7	54	54	10.0	9.62962962962963	24.007767066671462	0.5740740740740741
k16_a0d0562c	G2	chr8	53	0				
k16_a0d0562c	G2	chr9	47	47	8123.0	8450.31914893617	609.2666763870549	0.9574468085106383
k16_a0d0562c	G2	chr10	54	54	42.0	46.166666666666664	72.14287727556085	1.0
k16_a0d0562c	G2	chr11	54	0				
k16_a0d0562c	G2	chr12	53	0				
k16_a0d0562c	G2	chr16	49	47	0.0	0.0	0.0	0.0
k16_a0d0562c	G2	chr17	37	37	4.0	3.972972972972973	5.0689656920333	0.0
k16_a0d0562c	G2	chr18	35	0				
k16_a0d0562c	G2	chr19	54	0				
k16_a0d0562c	G2	chr20	54	54	13.0	12.518518518518519	19.33726667449502	0.8888888888888888
k16_a0d0562c	G2	chrX	38	0				
k16_a0d0562c	G3	chr1	38	38	14.0	15.763157894736842	19.360763192881393	1.0
k16_a0d0562c	G3	chr2	57	56	0.0	0.0	0.0	0.0
k16_a0d0562c	G3	chr3	49	48	1.0	0.9583333333333334	5.41411060816116	0.0
k16_a0d0562c	G3	chr4	58	58	5.0	5.103448275862069	23.71139578493091	0.017241379310344827
k16_a0d0562c	G3	chr5	70	70	16.5	18.2	52.78584987870027	1.0
k16_a0d0562c	G3	chr6	57	0				
k16_a0d0562c	G3	chr7	70	70	6.0	8.014285714285714	20.770283551764397	0.4714285714285714
k16_a0d0562c	G3	chr8	66	0				
k16_a0d0562c	G3	chr9	58	58	8943.5	8911.0	615.6119858535668	1.0
k16_a0d0562c	G3	chr10	70	70	39.0	41.81428571428572	66.69602172699811	1.0
k16_a0d0562c	G3	chr11	69	0				
k16_a0d0562c	G3	chr12	70	0				
k16_a0d0562c	G3	chr16	60	60	0.0	0.0	0.0	0.0
k16_a0d0562c	G3	chr17	44	44	4.0	3.977272727272727	5.029147646550009	0.0
k16_a0d0562c	G3	chr18	38	0				
k16_a0d0562c	G3	chr19	66	0				
k16_a0d0562c	G3	chr20	70	70	47.0	46.542857142857144	42.143235232686344	1.0
k16_a0d0562c	G3	chrX	52	0				
k16_a0d0562c	G3	chrY	1	1	0.0	0.0	0.0	0.0
k16_a0d0562c	G4	chr1	23	22	15.0	14.681818181818182	16.606072496251553	1.0
k16_a0d0562c	G4	chr2	31	31	0.0	0.0	0.0	0.0
k16_a0d0562c	G4	chr3	28	28	1.0	0.9285714285714286	5.229262955498973	0.0
k16_a0d0562c	G4	chr4	28	28	5.5	5.607142857142857	25.78047514893561	0.07142857142857142
k16_a0d0562c	G4	chr5	39	39	35.0	44.12820512820513	69.90291577612545	1.0
k16_a0d0562c	G4	chr6	30	0				
k16_a0d0562c	G4	chr7	39	39	10.0	9.846153846153847	22.29076115286888	0.717948717948718
k16_a0d0562c	G4	chr8	36	0				
k16_a0d0562c	G4	chr9	27	27	8673.0	8689.962962962964	612.063907465873	1.0
k16_a0d0562c	G4	chr10	39	39	41.0	43.92307692307692	69.55163152982935	1.0
k16_a0d0562c	G4	chr11	39	0				
k16_a0d0562c	G4	chr12	37	0				
k16_a0d0562c	G4	chr16	29	29	0.0	0.0	0.0	0.0
k16_a0d0562c	G4	chr17	25	25	4.0	3.56	3.9722710486737545	0.0
k16_a0d0562c	G4	chr18	27	0				
k16_a0d0562c	G4	chr19	35	0				
k16_a0d0562c	G4	chr20	39	39	17.0	27.05128205128205	31.1609513051506	0.8461538461538461
k16_a0d0562c	G4	chrX	30	0				
k16_a0d0562c	G4	chrY	1	1	0.0	0.0	0.0	0.0
k16_a0d0562c	G5	chr1	31	30	15.0	15.6	19.052851020994655	1.0
k16_a0d0562c	G5	chr2	39	39	0.0	0.10256410256410256	1.7188103597856814	0.0
k16_a0d0562c	G5	chr3	26	26	1.0	0.8076923076923077	4.574231610772098	0.0
k16_a0d0562c	G5	chr4	40	40	6.0	6.0	28.051871182534814	0.125
k16_a0d0562c	G5	chr5	47	47	50.0	51.59574468085106	76.58216785011118	1.0
k16_a0d0562c	G5	chr6	37	0				
k16_a0d0562c	G5	chr7	47	47	11.0	12.553191489361701	27.51504536671353	0.723404255319149
k16_a0d0562c	G5	chr8	45	0				
k16_a0d0562c	G5	chr9	40	40	9090.0	9211.375	613.8223643807419	1.0
k16_a0d0562c	G5	chr10	47	47	41.0	45.276595744680854	72.26639539600575	0.9574468085106383
k16_a0d0562c	G5	chr11	46	0				
k16_a0d0562c	G5	chr12	44	0				
k16_a0d0562c	G5	chr16	33	33	0.0	0.0	0.0	0.0
k16_a0d0562c	G5	chr17	39	39	4.0	4.205128205128205	4.673072423162437	0.0
k16_a0d0562c	G5	chr18	39	0				
k16_a0d0562c	G5	chr19	46	0				
k16_a0d0562c	G5	chr20	47	47	24.0	26.340425531914892	22.635450637174223	1.0
k16_a0d0562c	G5	chrX	28	0				
k16_a0d0562c	G5	chrY	1	1	0.0	0.0	0.0	0.0
k16_a0d0562c	G6	chr1	34	34	15.0	14.970588235294118	18.633737740355084	1.0
k16_a0d0562c	G6	chr2	39	38	0.0	0.0	0.0	0.0
k16_a0d0562c	G6	chr3	34	34	1.0	0.9411764705882353	5.104751087551267	0.0
k16_a0d0562c	G6	chr4	34	34	5.5	5.323529411764706	24.233972172973257	0.058823529411764705
k16_a0d0562c	G6	chr5	47	47	49.0	48.48936170212766	69.97982499148128	1.0
k16_a0d0562c	G6	chr6	40	0				
k16_a0d0562c	G6	chr7	47	47	7.0	9.191489361702128	23.46778836900555	0.44680851063829785
k16_a0d0562c	G6	chr8	47	0				
k16_a0d0562c	G6	chr9	39	39	7607.0	8040.48717948718	608.7373839633855	1.0
k16_a0d0562c	G6	chr10	47	47	40.0	43.08510638297872	67.59580804512957	1.0
k16_a0d0562c	G6	chr11	47	0				
k16_a0d0562c	G6	chr12	47	0				
k16_a0d0562c	G6	chr16	41	41	0.0	0.0	0.0	0.0
k16_a0d0562c	G6	chr17	28	28	4.0	3.8214285714285716	4.679689469802117	0.0
k16_a0d0562c	G6	chr18	25	0				
k16_a0d0562c	G6	chr19	46	0				
k16_a0d0562c	G6	chr20	47	47	13.0	12.23404255319149	20.91694046638593	0.9574468085106383
k16_a0d0562c	G6	chrX	30	0				
k16_a0d0562c	G7	chr1	84	81	15.0	15.074074074074074	20.423937718130286	1.0
k16_a0d0562c	G7	chr2	104	103	0.0	0.0	0.0	0.0
k16_a0d0562c	G7	chr3	88	86	1.0	0.9186046511627907	5.116659181663552	0.0
k16_a0d0562c	G7	chr4	91	91	6.0	5.131868131868132	23.390003923710722	0.01098901098901099
k16_a0d0562c	G7	chr5	126	126	49.5	48.63492063492063	70.99142702059292	1.0
k16_a0d0562c	G7	chr6	103	0				
k16_a0d0562c	G7	chr7	126	126	6.5	8.38888888888889	22.451097389249608	0.47619047619047616
k16_a0d0562c	G7	chr8	121	0				
k16_a0d0562c	G7	chr9	101	101	8346.0	8717.049504950495	614.4251993680218	1.0
k16_a0d0562c	G7	chr10	126	126	44.0	44.48412698412698	69.54313362303063	0.9841269841269841
k16_a0d0562c	G7	chr11	125	0				
k16_a0d0562c	G7	chr12	126	0				
k16_a0d0562c	G7	chr16	109	109	0.0	0.0	0.0	0.0
k16_a0d0562c	G7	chr17	77	77	4.0	4.025974025974026	5.161899480433171	0.0
k16_a0d0562c	G7	chr18	76	0				
k16_a0d0562c	G7	chr19	121	0				
k16_a0d0562c	G7	chr20	126	126	46.0	46.87301587301587	42.32691142018054	1.0
k16_a0d0562c	G7	chrX	80	0				
k16_a0d0562c	NA	chr1	73	71	15.0	15.309859154929578	21.024550524315927	1.0
k16_a0d0562c	NA	chr2	92	92	0.0	0.0	0.0	0.0
k16_a0d0562c	NA	chr3	80	80	1.0	0.9875	5.323371934293688	0.0
k16_a0d0562c	NA	chr4	93	93	4.0	5.161290322580645	24.35307205632622	0.010752688172043012
k16_a0d0562c	NA	chr5	115	114	34.5	35.78947368421053	68.53068448800398	0.9824561403508771
k16_a0d0562c	NA	chr6	101	0				
k16_a0d0562c	NA	chr7	60	60	6.5	7.4	20.00939810784101	0.4166666666666667
k16_a0d0562c	NA	chr8	127	0				
k16_a0d0562c	NA	chr9	98	97	8611.0	9009.546391752578	614.7799946751886	1.0
k16_a0d0562c	NA	chr10	119	118	42.5	45.16949152542373	70.03851158885728	0.9830508474576272
k16_a0d0562c	NA	chr11	130	0				
k16_a0d0562c	NA	chr12	126	0				
k16_a0d0562c	NA	chr16	103	102	0.0	0.0	0.0	0.0
k16_a0d0562c	NA	chr17	65	65	4.0	3.9076923076923076	4.7457934426662	0.0
k16_a0d0562c	NA	chr18	84	0				
k16_a0d0562c	NA	chr19	128	0				
k16_a0d0562c	NA	chr20	84	84	41.0	33.523809523809526	32.15786919218005	0.9404761904761905
k16_a0d0562c	NA	chrX	91	0				
k16_a0d0562c	NA	chrY	1	1	0.0	0.0	0.0	0.0
k16_4118ba0e	G1	chr1	40	39	179.0	159.87179487179486	201.21691861542106	1.0
k16_4118ba0e	G1	chr2	53	53	10.0	18.69811320754717	307.12502157777965	0.8679245283018868
k16_4118ba0e	G1	chr3	35	35	0.0	3.6	18.20755836208851	0.02857142857142857
k16_4118ba0e	G1	chr4	48	48	11.0	13.3125	63.19451538855677	0.9166666666666666
k16_4118ba0e	G1	chr5	59	59	69.0	83.69491525423729	221.14864462707098	1.0
k16_4118ba0e	G1	chr6	40	0				
k16_4118ba0e	G1	chr7	59	59	129.0	133.89830508474577	300.5952852048066	1.0
k16_4118ba0e	G1	chr8	53	0				
k16_4118ba0e	G1	chr9	49	49	6403.0	6225.6122448979595	435.9245698833992	1.0
k16_4118ba0e	G1	chr10	59	59	38.0	40.05084745762712	61.86713656716147	0.9830508474576272
k16_4118ba0e	G1	chr11	57	0				
k16_4118ba0e	G1	chr12	58	0				
k16_4118ba0e	G1	chr16	45	43	0.0	0.0	0.0	0.0
k16_4118ba0e	G1	chr17	42	42	46.0	56.976190476190474	63.84546718260278	1.0
k16_4118ba0e	G1	chr18	44	0				
k16_4118ba0e	G1	chr19	55	0				
k16_4118ba0e	G1	chr20	59	59	503.0	508.2542372881356	393.0763816870109	1.0
k16_4118ba0e	G1	chrX	44	1	83.0	83.0	194.1706689998339	1.0
k16_4118ba0e	G2	chr1	35	35	114.0	130.17142857142858	185.55638998006899	1.0
k16_4118ba0e	G2	chr2	41	39	10.0	15.0	252.81019054109595	0.7435897435897436
k16_4118ba0e	G2	chr3	47	47	0.0	0.0	0.0	0.0
k16_4118ba0e	G2	chr4	39	39	11.0	12.333333333333334	55.614259496134814	0.8717948717948718
k16_4118ba0e	G2	chr5	54	54	63.0	87.18518518518519	260.9243071775189	1.0
k16_4118ba0e	G2	chr6	44	0				
k16_4118ba0e	G2	chr7	54	54	127.5	116.94444444444444	291.55586351159667	1.0
k16_4118ba0e	G2	chr8	53	0				
k16_4118ba0e	G2	chr9	47	47	5943.0	6043.914893617021	435.76530953435565	0.9574468085106383
k16_4118ba0e	G2	chr10	54	54	36.0	39.98148148148148	62.4775258876598	1.0
k16_4118ba0e	G2	chr11	54	0				
k16_4118ba0e	G2	chr12	53	0				
k16_4118ba0e	G2	chr16	49	47	0.0	0.0	0.0	0.0
k16_4118ba0e	G2	chr17	37	37	44.0	47.32432432432432	60.37931242687284	1.0
k16_4118ba0e	G2	chr18	35	0				
k16_4118ba0e	G2	chr19	54	0				
k16_4118ba0e	G2	chr20	54	54	189.0	190.16666666666666	293.74909982306116	1.0
k16_4118ba0e	G2	chrX	38	0				
k16_4118ba0e	G3	chr1	38	38	185.5	166.0	203.8859669794588	1.0
k16_4118ba0e	G3	chr2	57	56	10.0	12.017857142857142	199.99197654774625	0.6428571428571429
k16_4118ba0e	G3	chr3	49	48	0.0	0.0	0.0	0.0
k16_4118ba0e	G3	chr4	58	58	11.0	10.724137931034482	49.825973575091304	0.9310344827586207
k16_4118ba0e	G3	chr5	70	70	66.0	100.05714285714286	290.19787484334125	1.0
k16_4118ba0e	G3	chr6	57	0				
k16_4118ba0e	G3	chr7	70	70	125.0	111.22857142857143	288.266359597215	1.0
k16_4118ba0e	G3	chr8	66	0				
k16_4118ba0e	G3	chr9	58	58	6392.5	6382.672413793103	440.9437369215521	1.0
k16_4118ba0e	G3	chr10	70	70	34.0	37.642857142857146	60.04237008904682	0.9857142857142858
k16_4118ba0e	G3	chr11	69	0				
k16_4118ba0e	G3	chr12	70	0				
k16_4118ba0e	G3	chr16	60	60	0.0	0.0	0.0	0.0
k16_4118ba0e	G3	chr17	44	44	44.5	47.79545454545455	60.43598571825525	1.0
k16_4118ba0e	G3	chr18	38	0				
k16_4118ba0e	G3	chr19	66	0				
k16_4118ba0e	G3	chr20	70	70	392.0	400.1857142857143	362.3567982115539	1.0
k16_4118ba0e	G3	chrX	52	0				
k16_4118ba0e	G3	chrY	1	1	1.0	1.0	0.05773273726206535	0.0
k16_4118ba0e	G4	chr1	23	22	195.0	186.5909090909091	211.04621547093691	1.0
k16_4118ba0e	G4	chr2	31	31	10.0	18.70967741935484	318.6452522406804	0.7419354838709677
k16_4118ba0e	G4	chr3	28	28	0.0	0.0	0.0	0.0
k16_4118ba0e	G4	chr4	28	28	11.0	11.392857142857142	52.381984538283184	0.9285714285714286
k16_4118ba0e	G4	chr5	39	39	133.0	156.23076923076923	247.4831294735226	1.0
k16_4118ba0e	G4	chr6	30	0				
k16_4118ba0e	G4	chr7	39	39	128.0	130.74358974358975	295.99112270437087	1.0
k16_4118ba0e	G4	chr8	36	0				
k16_4118ba0e	G4	chr9	27	27	6197.0	6222.925925925926	438.3020243384599	1.0
k16_4118ba0e	G4	chr10	39	39	34.0	38.64102564102564	61.18757076208571	1.0
k16_4118ba0e	G4	chr11	39	0				
k16_4118ba0e	G4	chr12	37	0				
k16_4118ba0e	G4	chr16	29	29	0.0	0.0	0.0	0.0
k16_4118ba0e	G4	chr17	25	25	50.0	59.92	66.85912394284588	1.0
k16_4118ba0e	G4	chr18	27	0				
k16_4118ba0e	G4	chr19	35	0				
k16_4118ba0e	G4	chr20	39	39	238.0	280.84615384615387	323.51270108560624	1.0
k16_4118ba0e	G4	chrX	30	0				
k16_4118ba0e	G4	chrY	1	1	1.0	1.0	0.11561329848902668	0.0
k16_4118ba0e	G5	chr1	31	30	187.5	165.83333333333334	202.53832014839404	1.0
k16_4118ba0e	G5	chr2	39	39	10.0	17.615384615384617	295.2056792931908	0.717948717948718
k16_4118ba0e	G5	chr3	26	26	0.0	0.0	0.0	0.0
k16_4118ba0e	G5	chr4	40	40	11.0	12.35	57.740101517384154	1.0
k16_4118ba0e	G5	chr5	47	47	134.0	131.40425531914894	195.03978088341717	1.0
k16_4118ba0e	G5	chr6	37	0				
k16_4118ba0e	G5	chr7	47	47	129.0	141.06382978723406	309.19449284967914	1.0
k16_4118ba0e	G5	chr8	45	0				
k16_4118ba0e	G5	chr9	40	40	6597.5	6571.425	437.9028788699534	1.0
k16_4118ba0e	G5	chr10	47	47	34.0	34.680851063829785	55.35442880427132	0.9148936170212766
k16_4118ba0e	G5	chr11	46	0				
k16_4118ba0e	G5	chr12	44	0				
