kmer_id	target_family	group	chromosome	available_haps	measurable_haps	median_target_hits	mean_target_hits	pooled_target_density_per_M	presence_ge10_fraction
k16_00c14d34	HSat2	NA	chr4	65	0				
k16_00c14d34	HSat2	NA	chr5	79	0				
k16_00c14d34	HSat2	NA	chr6	64	0				
k16_00c14d34	HSat2	NA	chr7	13	13	0.0	0.0	0.0	0.0
k16_00c14d34	HSat2	NA	chr8	80	0				
k16_00c14d34	HSat2	NA	chr9	66	65	0.0	0.0	0.0	0.0
k16_00c14d34	HSat2	NA	chr10	72	71	25.0	46.36619718309859	63.18103013752411	0.9859154929577465
k16_00c14d34	HSat2	NA	chr11	84	0				
k16_00c14d34	HSat2	NA	chr12	79	0				
k16_00c14d34	HSat2	NA	chr13	0	0				
k16_00c14d34	HSat2	NA	chr14	0	0				
k16_00c14d34	HSat2	NA	chr15	0	0				
k16_00c14d34	HSat2	NA	chr16	68	67	0.0	0.0	0.0	0.0
k16_00c14d34	HSat2	NA	chr17	47	47	0.0	0.0	0.0	0.0
k16_00c14d34	HSat2	NA	chr18	53	0				
k16_00c14d34	HSat2	NA	chr19	82	0				
k16_00c14d34	HSat2	NA	chr20	74	0				
k16_00c14d34	HSat2	NA	chr21	0	0				
k16_00c14d34	HSat2	NA	chr22	0	0				
k16_00c14d34	HSat2	NA	chrX	63	0				
k16_00c14d34	HSat2	NA	chrY	0	0				
k16_0320c806	HSat3	G1	chr1	40	39	0.0	0.0	0.0	0.0
k16_0320c806	HSat3	G1	chr2	53	53	0.0	0.0	0.0	0.0
k16_0320c806	HSat3	G1	chr3	35	35	0.0	0.0	0.0	0.0
k16_0320c806	HSat3	G1	chr4	48	48	0.0	0.0	0.0	0.0
k16_0320c806	HSat3	G1	chr5	59	59	0.0	0.0	0.0	0.0
k16_0320c806	HSat3	G1	chr6	40	0				
k16_0320c806	HSat3	G1	chr7	59	59	0.0	0.0	0.0	0.0
k16_0320c806	HSat3	G1	chr8	53	0				
k16_0320c806	HSat3	G1	chr9	49	49	0.0	0.0	0.0	0.0
k16_0320c806	HSat3	G1	chr10	59	59	0.0	0.0	0.0	0.0
k16_0320c806	HSat3	G1	chr11	57	0				
k16_0320c806	HSat3	G1	chr12	58	0				
k16_0320c806	HSat3	G1	chr13	0	0				
k16_0320c806	HSat3	G1	chr14	0	0				
k16_0320c806	HSat3	G1	chr15	0	0				
k16_0320c806	HSat3	G1	chr16	45	43	0.0	0.0	0.0	0.0
k16_0320c806	HSat3	G1	chr17	42	42	0.0	0.023809523809523808	0.026680094936315412	0.0
k16_0320c806	HSat3	G1	chr18	44	0				
k16_0320c806	HSat3	G1	chr19	55	0				
k16_0320c806	HSat3	G1	chr20	59	59	83.0	75.76271186440678	58.593771505683755	1.0
k16_0320c806	HSat3	G1	chr21	0	0				
k16_0320c806	HSat3	G1	chr22	0	0				
k16_0320c806	HSat3	G1	chrX	44	1	0.0	0.0	0.0	0.0
k16_0320c806	HSat3	G1	chrY	0	0				
k16_0320c806	HSat3	G2	chr1	35	35	0.0	0.0	0.0	0.0
k16_0320c806	HSat3	G2	chr2	41	39	0.0	0.0	0.0	0.0
k16_0320c806	HSat3	G2	chr3	47	47	0.0	0.0	0.0	0.0
k16_0320c806	HSat3	G2	chr4	39	39	0.0	0.0	0.0	0.0
k16_0320c806	HSat3	G2	chr5	54	54	0.0	0.0	0.0	0.0
k16_0320c806	HSat3	G2	chr6	44	0				
k16_0320c806	HSat3	G2	chr7	54	54	0.0	0.0	0.0	0.0
k16_0320c806	HSat3	G2	chr8	53	0				
k16_0320c806	HSat3	G2	chr9	47	47	0.0	0.0	0.0	0.0
k16_0320c806	HSat3	G2	chr10	54	54	0.0	0.0	0.0	0.0
k16_0320c806	HSat3	G2	chr11	54	0				
k16_0320c806	HSat3	G2	chr12	53	0				
k16_0320c806	HSat3	G2	chr13	0	0				
k16_0320c806	HSat3	G2	chr14	0	0				
k16_0320c806	HSat3	G2	chr15	0	0				
k16_0320c806	HSat3	G2	chr16	49	47	0.0	0.0	0.0	0.0
k16_0320c806	HSat3	G2	chr17	37	37	0.0	0.02702702702702703	0.03448275980975034	0.0
k16_0320c806	HSat3	G2	chr18	35	0				
k16_0320c806	HSat3	G2	chr19	54	0				
k16_0320c806	HSat3	G2	chr20	54	54	4.0	4.277777777777778	6.607852961254954	0.018518518518518517
k16_0320c806	HSat3	G2	chr21	0	0				
k16_0320c806	HSat3	G2	chr22	0	0				
k16_0320c806	HSat3	G2	chrX	38	0				
k16_0320c806	HSat3	G2	chrY	0	0				
k16_0320c806	HSat3	G3	chr1	38	38	0.0	0.0	0.0	0.0
k16_0320c806	HSat3	G3	chr2	57	56	0.0	0.0	0.0	0.0
k16_0320c806	HSat3	G3	chr3	49	48	0.0	0.0	0.0	0.0
k16_0320c806	HSat3	G3	chr4	58	58	0.0	0.0	0.0	0.0
k16_0320c806	HSat3	G3	chr5	70	70	0.0	0.0	0.0	0.0
k16_0320c806	HSat3	G3	chr6	57	0				
k16_0320c806	HSat3	G3	chr7	70	70	0.0	0.0	0.0	0.0
k16_0320c806	HSat3	G3	chr8	66	0				
k16_0320c806	HSat3	G3	chr9	58	58	0.0	0.0	0.0	0.0
k16_0320c806	HSat3	G3	chr10	70	70	0.0	0.0	0.0	0.0
k16_0320c806	HSat3	G3	chr11	69	0				
k16_0320c806	HSat3	G3	chr12	70	0				
k16_0320c806	HSat3	G3	chr13	0	0				
k16_0320c806	HSat3	G3	chr14	0	0				
k16_0320c806	HSat3	G3	chr15	0	0				
k16_0320c806	HSat3	G3	chr16	60	60	0.0	0.0	0.0	0.0
k16_0320c806	HSat3	G3	chr17	44	44	0.0	0.0	0.0	0.0
k16_0320c806	HSat3	G3	chr18	38	0				
k16_0320c806	HSat3	G3	chr19	66	0				
k16_0320c806	HSat3	G3	chr20	70	70	0.0	0.0	0.0	0.0
k16_0320c806	HSat3	G3	chr21	0	0				
k16_0320c806	HSat3	G3	chr22	0	0				
k16_0320c806	HSat3	G3	chrX	52	0				
k16_0320c806	HSat3	G3	chrY	1	1	0.0	0.0	0.0	0.0
k16_0320c806	HSat3	G4	chr1	23	22	0.0	0.0	0.0	0.0
k16_0320c806	HSat3	G4	chr2	31	31	0.0	0.0	0.0	0.0
k16_0320c806	HSat3	G4	chr3	28	28	0.0	0.0	0.0	0.0
k16_0320c806	HSat3	G4	chr4	28	28	0.0	0.0	0.0	0.0
k16_0320c806	HSat3	G4	chr5	39	39	0.0	0.0	0.0	0.0
k16_0320c806	HSat3	G4	chr6	30	0				
k16_0320c806	HSat3	G4	chr7	39	39	0.0	0.0	0.0	0.0
k16_0320c806	HSat3	G4	chr8	36	0				
k16_0320c806	HSat3	G4	chr9	27	27	0.0	0.0	0.0	0.0
k16_0320c806	HSat3	G4	chr10	39	39	0.0	0.0	0.0	0.0
k16_0320c806	HSat3	G4	chr11	39	0				
k16_0320c806	HSat3	G4	chr12	37	0				
k16_0320c806	HSat3	G4	chr13	0	0				
k16_0320c806	HSat3	G4	chr14	0	0				
k16_0320c806	HSat3	G4	chr15	0	0				
k16_0320c806	HSat3	G4	chr16	29	29	0.0	0.0	0.0	0.0
k16_0320c806	HSat3	G4	chr17	25	25	0.0	0.0	0.0	0.0
k16_0320c806	HSat3	G4	chr18	27	0				
k16_0320c806	HSat3	G4	chr19	35	0				
k16_0320c806	HSat3	G4	chr20	39	39	4.0	4.461538461538462	5.139341731844743	0.07692307692307693
k16_0320c806	HSat3	G4	chr21	0	0				
k16_0320c806	HSat3	G4	chr22	0	0				
k16_0320c806	HSat3	G4	chrX	30	0				
k16_0320c806	HSat3	G4	chrY	1	1	0.0	0.0	0.0	0.0
k16_0320c806	HSat3	G5	chr1	31	30	0.0	0.0	0.0	0.0
k16_0320c806	HSat3	G5	chr2	39	39	0.0	0.0	0.0	0.0
k16_0320c806	HSat3	G5	chr3	26	26	0.0	0.0	0.0	0.0
k16_0320c806	HSat3	G5	chr4	40	40	0.0	0.0	0.0	0.0
k16_0320c806	HSat3	G5	chr5	47	47	0.0	0.0	0.0	0.0
k16_0320c806	HSat3	G5	chr6	37	0				
k16_0320c806	HSat3	G5	chr7	47	47	0.0	0.0	0.0	0.0
k16_0320c806	HSat3	G5	chr8	45	0				
k16_0320c806	HSat3	G5	chr9	40	40	0.0	0.0	0.0	0.0
k16_0320c806	HSat3	G5	chr10	47	47	0.0	0.0	0.0	0.0
k16_0320c806	HSat3	G5	chr11	46	0				
k16_0320c806	HSat3	G5	chr12	44	0				
k16_0320c806	HSat3	G5	chr13	0	0				
k16_0320c806	HSat3	G5	chr14	0	0				
k16_0320c806	HSat3	G5	chr15	0	0				
k16_0320c806	HSat3	G5	chr16	33	33	0.0	0.0	0.0	0.0
k16_0320c806	HSat3	G5	chr17	39	39	0.0	0.0	0.0	0.0
k16_0320c806	HSat3	G5	chr18	39	0				
k16_0320c806	HSat3	G5	chr19	46	0				
k16_0320c806	HSat3	G5	chr20	47	47	49.0	56.8936170212766	48.891110665431235	1.0
k16_0320c806	HSat3	G5	chr21	0	0				
k16_0320c806	HSat3	G5	chr22	0	0				
k16_0320c806	HSat3	G5	chrX	28	0				
k16_0320c806	HSat3	G5	chrY	1	1	0.0	0.0	0.0	0.0
k16_0320c806	HSat3	G6	chr1	34	34	0.0	0.0	0.0	0.0
k16_0320c806	HSat3	G6	chr2	39	38	0.0	0.0	0.0	0.0
k16_0320c806	HSat3	G6	chr3	34	34	0.0	0.0	0.0	0.0
k16_0320c806	HSat3	G6	chr4	34	34	0.0	0.0	0.0	0.0
k16_0320c806	HSat3	G6	chr5	47	47	0.0	0.0	0.0	0.0
k16_0320c806	HSat3	G6	chr6	40	0				
k16_0320c806	HSat3	G6	chr7	47	47	0.0	0.0	0.0	0.0
k16_0320c806	HSat3	G6	chr8	47	0				
k16_0320c806	HSat3	G6	chr9	39	39	0.0	0.0	0.0	0.0
k16_0320c806	HSat3	G6	chr10	47	47	0.0	0.0	0.0	0.0
k16_0320c806	HSat3	G6	chr11	47	0				
k16_0320c806	HSat3	G6	chr12	47	0				
k16_0320c806	HSat3	G6	chr13	0	0				
k16_0320c806	HSat3	G6	chr14	0	0				
k16_0320c806	HSat3	G6	chr15	0	0				
k16_0320c806	HSat3	G6	chr16	41	41	0.0	0.0	0.0	0.0
k16_0320c806	HSat3	G6	chr17	28	28	0.0	0.0	0.0	0.0
k16_0320c806	HSat3	G6	chr18	25	0				
k16_0320c806	HSat3	G6	chr19	46	0				
k16_0320c806	HSat3	G6	chr20	47	47	4.0	4.042553191489362	6.911684675849264	0.0
k16_0320c806	HSat3	G6	chr21	0	0				
k16_0320c806	HSat3	G6	chr22	0	0				
k16_0320c806	HSat3	G6	chrX	30	0				
k16_0320c806	HSat3	G6	chrY	0	0				
k16_0320c806	HSat3	G7	chr1	84	81	0.0	0.0	0.0	0.0
k16_0320c806	HSat3	G7	chr2	104	103	0.0	0.0	0.0	0.0
k16_0320c806	HSat3	G7	chr3	88	86	0.0	0.0	0.0	0.0
k16_0320c806	HSat3	G7	chr4	91	91	0.0	0.0	0.0	0.0
k16_0320c806	HSat3	G7	chr5	126	126	0.0	0.0	0.0	0.0
k16_0320c806	HSat3	G7	chr6	103	0				
k16_0320c806	HSat3	G7	chr7	126	126	0.0	0.0	0.0	0.0
k16_0320c806	HSat3	G7	chr8	121	0				
k16_0320c806	HSat3	G7	chr9	101	101	0.0	0.0	0.0	0.0
k16_0320c806	HSat3	G7	chr10	126	126	0.0	0.0	0.0	0.0
k16_0320c806	HSat3	G7	chr11	125	0				
k16_0320c806	HSat3	G7	chr12	126	0				
k16_0320c806	HSat3	G7	chr13	0	0				
k16_0320c806	HSat3	G7	chr14	0	0				
k16_0320c806	HSat3	G7	chr15	0	0				
k16_0320c806	HSat3	G7	chr16	109	109	0.0	0.0	0.0	0.0
k16_0320c806	HSat3	G7	chr17	77	77	0.0	0.0	0.0	0.0
k16_0320c806	HSat3	G7	chr18	76	0				
k16_0320c806	HSat3	G7	chr19	121	0				
k16_0320c806	HSat3	G7	chr20	126	126	0.0	0.0	0.0	0.0
k16_0320c806	HSat3	G7	chr21	0	0				
k16_0320c806	HSat3	G7	chr22	0	0				
k16_0320c806	HSat3	G7	chrX	80	0				
k16_0320c806	HSat3	G7	chrY	0	0				
k16_0320c806	HSat3	NA	chr1	73	71	0.0	0.0	0.0	0.0
k16_0320c806	HSat3	NA	chr2	92	92	0.0	0.0	0.0	0.0
k16_0320c806	HSat3	NA	chr3	80	80	0.0	0.0	0.0	0.0
k16_0320c806	HSat3	NA	chr4	93	93	0.0	0.0	0.0	0.0
k16_0320c806	HSat3	NA	chr5	115	114	0.0	0.0	0.0	0.0
k16_0320c806	HSat3	NA	chr6	101	0				
k16_0320c806	HSat3	NA	chr7	60	60	0.0	0.0	0.0	0.0
k16_0320c806	HSat3	NA	chr8	127	0				
k16_0320c806	HSat3	NA	chr9	98	97	0.0	0.0	0.0	0.0
k16_0320c806	HSat3	NA	chr10	119	118	0.0	0.0	0.0	0.0
k16_0320c806	HSat3	NA	chr11	130	0				
k16_0320c806	HSat3	NA	chr12	126	0				
k16_0320c806	HSat3	NA	chr13	0	0				
k16_0320c806	HSat3	NA	chr14	0	0				
k16_0320c806	HSat3	NA	chr15	0	0				
k16_0320c806	HSat3	NA	chr16	103	102	0.0	0.0	0.0	0.0
k16_0320c806	HSat3	NA	chr17	65	65	0.0	0.0	0.0	0.0
k16_0320c806	HSat3	NA	chr18	84	0				
k16_0320c806	HSat3	NA	chr19	128	0				
k16_0320c806	HSat3	NA	chr20	84	84	0.0	17.285714285714285	16.581401302217838	0.20238095238095238
k16_0320c806	HSat3	NA	chr21	0	0				
k16_0320c806	HSat3	NA	chr22	0	0				
k16_0320c806	HSat3	NA	chrX	91	0				
k16_0320c806	HSat3	NA	chrY	1	1	0.0	0.0	0.0	0.0
k16_0534d0fa	HSat2	G1	chr1	102	102	5218.5	5419.745098039216	458.07208752930677	1.0
k16_0534d0fa	HSat2	G1	chr2	128	128	0.0	0.0	0.0	0.0
k16_0534d0fa	HSat2	G1	chr3	107	0				
k16_0534d0fa	HSat2	G1	chr4	124	0				
k16_0534d0fa	HSat2	G1	chr5	153	0				
k16_0534d0fa	HSat2	G1	chr6	131	0				
k16_0534d0fa	HSat2	G1	chr7	158	158	0.0	0.0	0.0	0.0
k16_0534d0fa	HSat2	G1	chr8	153	0				
k16_0534d0fa	HSat2	G1	chr9	132	125	0.0	0.0	0.0	0.0
k16_0534d0fa	HSat2	G1	chr10	158	158	49.0	60.08227848101266	130.12194796490056	1.0
k16_0534d0fa	HSat2	G1	chr11	156	0				
k16_0534d0fa	HSat2	G1	chr12	156	0				
k16_0534d0fa	HSat2	G1	chr13	0	0				
k16_0534d0fa	HSat2	G1	chr14	0	0				
k16_0534d0fa	HSat2	G1	chr15	0	0				
k16_0534d0fa	HSat2	G1	chr16	127	127	0.0	0.0	0.0	0.0
k16_0534d0fa	HSat2	G1	chr17	109	109	0.0	0.0	0.0	0.0
k16_0534d0fa	HSat2	G1	chr18	103	0				
k16_0534d0fa	HSat2	G1	chr19	151	0				
k16_0534d0fa	HSat2	G1	chr20	142	0				
k16_0534d0fa	HSat2	G1	chr21	0	0				
k16_0534d0fa	HSat2	G1	chr22	0	0				
k16_0534d0fa	HSat2	G1	chrX	98	0				
k16_0534d0fa	HSat2	G1	chrY	1	1	0.0	0.0	0.0	0.0
k16_0534d0fa	HSat2	G2	chr1	25	25	5426.0	5305.36	448.7705983358161	1.0
k16_0534d0fa	HSat2	G2	chr2	31	31	0.0	0.0	0.0	0.0
k16_0534d0fa	HSat2	G2	chr3	23	0				
k16_0534d0fa	HSat2	G2	chr4	31	0				
k16_0534d0fa	HSat2	G2	chr5	42	0				
k16_0534d0fa	HSat2	G2	chr6	35	0				
k16_0534d0fa	HSat2	G2	chr7	42	42	0.0	0.0	0.0	0.0
k16_0534d0fa	HSat2	G2	chr8	41	0				
k16_0534d0fa	HSat2	G2	chr9	33	30	0.0	0.0	0.0	0.0
k16_0534d0fa	HSat2	G2	chr10	42	42	28.0	86.38095238095238	364.28131353335203	0.9285714285714286
k16_0534d0fa	HSat2	G2	chr11	41	0				
k16_0534d0fa	HSat2	G2	chr12	40	0				
k16_0534d0fa	HSat2	G2	chr13	0	0				
k16_0534d0fa	HSat2	G2	chr14	0	0				
k16_0534d0fa	HSat2	G2	chr15	0	0				
k16_0534d0fa	HSat2	G2	chr16	32	32	0.0	0.0	0.0	0.0
k16_0534d0fa	HSat2	G2	chr17	29	28	0.0	0.0	0.0	0.0
k16_0534d0fa	HSat2	G2	chr18	30	0				
k16_0534d0fa	HSat2	G2	chr19	41	0				
k16_0534d0fa	HSat2	G2	chr20	42	0				
k16_0534d0fa	HSat2	G2	chr21	0	0				
k16_0534d0fa	HSat2	G2	chr22	0	0				
k16_0534d0fa	HSat2	G2	chrX	29	0				
k16_0534d0fa	HSat2	G2	chrY	0	0				
k16_0534d0fa	HSat2	G3	chr1	186	186	5638.0	5758.962365591397	461.2951070922671	1.0
k16_0534d0fa	HSat2	G3	chr2	239	239	0.0	0.0	0.0	0.0
k16_0534d0fa	HSat2	G3	chr3	204	0				
k16_0534d0fa	HSat2	G3	chr4	211	0				
k16_0534d0fa	HSat2	G3	chr5	283	0				
k16_0534d0fa	HSat2	G3	chr6	222	0				
k16_0534d0fa	HSat2	G3	chr7	289	289	0.0	0.0	0.0	0.0
k16_0534d0fa	HSat2	G3	chr8	274	0				
k16_0534d0fa	HSat2	G3	chr9	228	224	0.0	0.0	0.0	0.0
k16_0534d0fa	HSat2	G3	chr10	289	289	20.0	21.02076124567474	20.043923280149805	0.9896193771626297
k16_0534d0fa	HSat2	G3	chr11	286	0				
k16_0534d0fa	HSat2	G3	chr12	286	0				
k16_0534d0fa	HSat2	G3	chr13	0	0				
k16_0534d0fa	HSat2	G3	chr14	0	0				
k16_0534d0fa	HSat2	G3	chr15	0	0				
k16_0534d0fa	HSat2	G3	chr16	242	242	0.0	0.0	0.0	0.0
k16_0534d0fa	HSat2	G3	chr17	172	172	0.0	0.0	0.0	0.0
k16_0534d0fa	HSat2	G3	chr18	182	0				
k16_0534d0fa	HSat2	G3	chr19	277	0				
k16_0534d0fa	HSat2	G3	chr20	268	0				
k16_0534d0fa	HSat2	G3	chr21	0	0				
k16_0534d0fa	HSat2	G3	chr22	0	0				
k16_0534d0fa	HSat2	G3	chrX	203	0				
k16_0534d0fa	HSat2	G3	chrY	3	3	0.0	0.0	0.0	0.0
k16_0534d0fa	HSat2	NA	chr1	45	44	5209.0	5445.159090909091	463.6315748624145	1.0
k16_0534d0fa	HSat2	NA	chr2	58	58	0.0	0.0	0.0	0.0
k16_0534d0fa	HSat2	NA	chr3	53	0				
k16_0534d0fa	HSat2	NA	chr4	65	0				
k16_0534d0fa	HSat2	NA	chr5	79	0				
k16_0534d0fa	HSat2	NA	chr6	64	0				
k16_0534d0fa	HSat2	NA	chr7	13	13	0.0	0.0	0.0	0.0
k16_0534d0fa	HSat2	NA	chr8	80	0				
k16_0534d0fa	HSat2	NA	chr9	66	65	0.0	0.0	0.0	0.0
k16_0534d0fa	HSat2	NA	chr10	72	71	23.0	39.38028169014085	53.66165257123858	0.971830985915493
k16_0534d0fa	HSat2	NA	chr11	84	0				
k16_0534d0fa	HSat2	NA	chr12	79	0				
k16_0534d0fa	HSat2	NA	chr13	0	0				
k16_0534d0fa	HSat2	NA	chr14	0	0				
k16_0534d0fa	HSat2	NA	chr15	0	0				
k16_0534d0fa	HSat2	NA	chr16	68	67	0.0	0.0	0.0	0.0
k16_0534d0fa	HSat2	NA	chr17	47	47	0.0	0.0	0.0	0.0
k16_0534d0fa	HSat2	NA	chr18	53	0				
k16_0534d0fa	HSat2	NA	chr19	82	0				
k16_0534d0fa	HSat2	NA	chr20	74	0				
k16_0534d0fa	HSat2	NA	chr21	0	0				
k16_0534d0fa	HSat2	NA	chr22	0	0				
k16_0534d0fa	HSat2	NA	chrX	63	0				
k16_0534d0fa	HSat2	NA	chrY	0	0				
k16_0560c43a	HSat3	G1	chr1	40	39	0.0	0.0	0.0	0.0
k16_0560c43a	HSat3	G1	chr2	53	53	0.0	0.0	0.0	0.0
k16_0560c43a	HSat3	G1	chr3	35	35	0.0	0.0	0.0	0.0
k16_0560c43a	HSat3	G1	chr4	48	48	0.0	0.0	0.0	0.0
k16_0560c43a	HSat3	G1	chr5	59	59	0.0	0.23728813559322035	0.6269908920168071	0.0
k16_0560c43a	HSat3	G1	chr6	40	0				
k16_0560c43a	HSat3	G1	chr7	59	59	0.0	0.0	0.0	0.0
k16_0560c43a	HSat3	G1	chr8	53	0				
k16_0560c43a	HSat3	G1	chr9	49	49	1900.0	1860.1224489795918	130.24792528098968	1.0
k16_0560c43a	HSat3	G1	chr10	59	59	0.0	0.0	0.0	0.0
k16_0560c43a	HSat3	G1	chr11	57	0				
k16_0560c43a	HSat3	G1	chr12	58	0				
k16_0560c43a	HSat3	G1	chr13	0	0				
k16_0560c43a	HSat3	G1	chr14	0	0				
k16_0560c43a	HSat3	G1	chr15	0	0				
k16_0560c43a	HSat3	G1	chr16	45	43	0.0	0.0	0.0	0.0
k16_0560c43a	HSat3	G1	chr17	42	42	0.0	0.0	0.0	0.0
k16_0560c43a	HSat3	G1	chr18	44	0				
k16_0560c43a	HSat3	G1	chr19	55	0				
k16_0560c43a	HSat3	G1	chr20	59	59	0.0	0.0	0.0	0.0
k16_0560c43a	HSat3	G1	chr21	0	0				
k16_0560c43a	HSat3	G1	chr22	0	0				
k16_0560c43a	HSat3	G1	chrX	44	1	0.0	0.0	0.0	0.0
k16_0560c43a	HSat3	G1	chrY	0	0				
k16_0560c43a	HSat3	G2	chr1	35	35	0.0	0.0	0.0	0.0
k16_0560c43a	HSat3	G2	chr2	41	39	0.0	0.0	0.0	0.0
k16_0560c43a	HSat3	G2	chr3	47	47	0.0	0.0	0.0	0.0
k16_0560c43a	HSat3	G2	chr4	39	39	0.0	0.0	0.0	0.0
k16_0560c43a	HSat3	G2	chr5	54	54	0.0	0.037037037037037035	0.11084295122239546	0.0
k16_0560c43a	HSat3	G2	chr6	44	0				
k16_0560c43a	HSat3	G2	chr7	54	54	0.0	0.0	0.0	0.0
k16_0560c43a	HSat3	G2	chr8	53	0				
k16_0560c43a	HSat3	G2	chr9	47	47	1751.0	1826.8297872340424	131.71413921485762	0.9574468085106383
k16_0560c43a	HSat3	G2	chr10	54	54	0.0	0.0	0.0	0.0
k16_0560c43a	HSat3	G2	chr11	54	0				
k16_0560c43a	HSat3	G2	chr12	53	0				
k16_0560c43a	HSat3	G2	chr13	0	0				
k16_0560c43a	HSat3	G2	chr14	0	0				
k16_0560c43a	HSat3	G2	chr15	0	0				
k16_0560c43a	HSat3	G2	chr16	49	47	0.0	0.0	0.0	0.0
k16_0560c43a	HSat3	G2	chr17	37	37	0.0	0.0	0.0	0.0
