query_index	kmer_id	region	exact_distance	query_position_1based	weighted_count
0	k16_00c14d34	HSat23	2	8	232692
0	k16_00c14d34	HSat23	2	9	7628
0	k16_00c14d34	HSat23	2	10	951
0	k16_00c14d34	HSat23	2	11	4096
0	k16_00c14d34	HSat23	2	12	5480
0	k16_00c14d34	HSat23	2	13	3309
0	k16_00c14d34	HSat23	2	14	1314
0	k16_00c14d34	HSat23	2	15	3600
0	k16_00c14d34	HSat23	2	16	1521
0	k16_00c14d34	background	1	1	6776
0	k16_00c14d34	background	1	2	8926
0	k16_00c14d34	background	1	3	4019
0	k16_00c14d34	background	1	4	8604
0	k16_00c14d34	background	1	5	10926
0	k16_00c14d34	background	1	6	14891
0	k16_00c14d34	background	1	7	5876
0	k16_00c14d34	background	1	8	34944
0	k16_00c14d34	background	1	9	7817
0	k16_00c14d34	background	1	10	3527
0	k16_00c14d34	background	1	11	11799
0	k16_00c14d34	background	1	12	16072
0	k16_00c14d34	background	1	13	5053
0	k16_00c14d34	background	1	14	6248
0	k16_00c14d34	background	1	15	21902
0	k16_00c14d34	background	1	16	6665
0	k16_00c14d34	background	2	1	232499
0	k16_00c14d34	background	2	2	392154
0	k16_00c14d34	background	2	3	294631
0	k16_00c14d34	background	2	4	303637
0	k16_00c14d34	background	2	5	468131
0	k16_00c14d34	background	2	6	586061
0	k16_00c14d34	background	2	7	431803
0	k16_00c14d34	background	2	8	978530
0	k16_00c14d34	background	2	9	462554
0	k16_00c14d34	background	2	10	193263
0	k16_00c14d34	background	2	11	426235
0	k16_00c14d34	background	2	12	546550
0	k16_00c14d34	background	2	13	219993
0	k16_00c14d34	background	2	14	367440
0	k16_00c14d34	background	2	15	568564
0	k16_00c14d34	background	2	16	208277
1	k16_0320c806	HSat2	1	1	0
1	k16_0320c806	HSat2	1	2	0
1	k16_0320c806	HSat2	1	3	0
1	k16_0320c806	HSat2	1	4	0
1	k16_0320c806	HSat2	1	5	0
1	k16_0320c806	HSat2	1	6	0
1	k16_0320c806	HSat2	1	7	0
1	k16_0320c806	HSat2	1	8	0
1	k16_0320c806	HSat2	1	9	0
1	k16_0320c806	HSat2	1	10	3
1	k16_0320c806	HSat2	1	11	0
1	k16_0320c806	HSat2	1	12	0
1	k16_0320c806	HSat2	1	13	0
1	k16_0320c806	HSat2	1	14	0
1	k16_0320c806	HSat2	1	15	3
1	k16_0320c806	HSat2	1	16	0
1	k16_0320c806	HSat2	2	1	6020
1	k16_0320c806	HSat2	2	2	775
1	k16_0320c806	HSat2	2	3	0
1	k16_0320c806	HSat2	2	4	0
1	k16_0320c806	HSat2	2	5	25804
1	k16_0320c806	HSat2	2	6	6
1	k16_0320c806	HSat2	2	7	0
1	k16_0320c806	HSat2	2	8	3584
1	k16_0320c806	HSat2	2	9	1432
1	k16_0320c806	HSat2	2	10	16727
1	k16_0320c806	HSat2	2	11	39
1	k16_0320c806	HSat2	2	12	0
1	k16_0320c806	HSat2	2	13	0
1	k16_0320c806	HSat2	2	14	13584
1	k16_0320c806	HSat2	2	15	40200
1	k16_0320c806	HSat2	2	16	1671
1	k16_0320c806	HSat3	1	1	442
1	k16_0320c806	HSat3	1	2	0
1	k16_0320c806	HSat3	1	3	3
1	k16_0320c806	HSat3	1	4	10
1	k16_0320c806	HSat3	1	5	459
1	k16_0320c806	HSat3	1	6	2
1	k16_0320c806	HSat3	1	7	8
1	k16_0320c806	HSat3	1	8	1
1	k16_0320c806	HSat3	1	9	1
1	k16_0320c806	HSat3	1	10	1092
1	k16_0320c806	HSat3	1	11	21
1	k16_0320c806	HSat3	1	12	0
1	k16_0320c806	HSat3	1	13	965
1	k16_0320c806	HSat3	1	14	844
1	k16_0320c806	HSat3	1	15	24930
1	k16_0320c806	HSat3	1	16	400
1	k16_0320c806	HSat3	2	1	35577
1	k16_0320c806	HSat3	2	2	1171
1	k16_0320c806	HSat3	2	3	5452
1	k16_0320c806	HSat3	2	4	2676
1	k16_0320c806	HSat3	2	5	64897
1	k16_0320c806	HSat3	2	6	1510
1	k16_0320c806	HSat3	2	7	218
1	k16_0320c806	HSat3	2	8	87
1	k16_0320c806	HSat3	2	9	2932
1	k16_0320c806	HSat3	2	10	83363
1	k16_0320c806	HSat3	2	11	1056
1	k16_0320c806	HSat3	2	12	9
1	k16_0320c806	HSat3	2	13	4730
1	k16_0320c806	HSat3	2	14	62837
1	k16_0320c806	HSat3	2	15	68878
1	k16_0320c806	HSat3	2	16	6461
1	k16_0320c806	HSat23	1	1	442
1	k16_0320c806	HSat23	1	2	0
1	k16_0320c806	HSat23	1	3	3
1	k16_0320c806	HSat23	1	4	10
1	k16_0320c806	HSat23	1	5	459
1	k16_0320c806	HSat23	1	6	2
1	k16_0320c806	HSat23	1	7	8
1	k16_0320c806	HSat23	1	8	1
1	k16_0320c806	HSat23	1	9	1
1	k16_0320c806	HSat23	1	10	1095
1	k16_0320c806	HSat23	1	11	21
1	k16_0320c806	HSat23	1	12	0
1	k16_0320c806	HSat23	1	13	965
1	k16_0320c806	HSat23	1	14	844
1	k16_0320c806	HSat23	1	15	24933
1	k16_0320c806	HSat23	1	16	400
1	k16_0320c806	HSat23	2	1	41597
1	k16_0320c806	HSat23	2	2	1946
1	k16_0320c806	HSat23	2	3	5452
1	k16_0320c806	HSat23	2	4	2676
1	k16_0320c806	HSat23	2	5	90701
1	k16_0320c806	HSat23	2	6	1516
1	k16_0320c806	HSat23	2	7	218
1	k16_0320c806	HSat23	2	8	3671
1	k16_0320c806	HSat23	2	9	4364
1	k16_0320c806	HSat23	2	10	100090
1	k16_0320c806	HSat23	2	11	1095
1	k16_0320c806	HSat23	2	12	9
1	k16_0320c806	HSat23	2	13	4730
1	k16_0320c806	HSat23	2	14	76421
1	k16_0320c806	HSat23	2	15	109078
1	k16_0320c806	HSat23	2	16	8132
1	k16_0320c806	background	1	1	516
1	k16_0320c806	background	1	2	957
1	k16_0320c806	background	1	3	1261
1	k16_0320c806	background	1	4	1434
1	k16_0320c806	background	1	5	1025
1	k16_0320c806	background	1	6	3125
1	k16_0320c806	background	1	7	372
1	k16_0320c806	background	1	8	0
1	k16_0320c806	background	1	9	0
1	k16_0320c806	background	1	10	1873
1	k16_0320c806	background	1	11	1807
1	k16_0320c806	background	1	12	1036
1	k16_0320c806	background	1	13	0
1	k16_0320c806	background	1	14	945
1	k16_0320c806	background	1	15	33803
1	k16_0320c806	background	1	16	26494
1	k16_0320c806	background	2	1	103541
1	k16_0320c806	background	2	2	79065
1	k16_0320c806	background	2	3	80600
1	k16_0320c806	background	2	4	323657
1	k16_0320c806	background	2	5	107796
1	k16_0320c806	background	2	6	437805
1	k16_0320c806	background	2	7	83532
1	k16_0320c806	background	2	8	95188
1	k16_0320c806	background	2	9	414924
1	k16_0320c806	background	2	10	94090
1	k16_0320c806	background	2	11	297347
1	k16_0320c806	background	2	12	68528
1	k16_0320c806	background	2	13	88111
1	k16_0320c806	background	2	14	118899
1	k16_0320c806	background	2	15	1114226
1	k16_0320c806	background	2	16	766975
2	k16_0534d0fa	HSat2	1	1	87794
2	k16_0534d0fa	HSat2	1	2	7008
2	k16_0534d0fa	HSat2	1	3	223347
2	k16_0534d0fa	HSat2	1	4	49983
2	k16_0534d0fa	HSat2	1	5	4598
2	k16_0534d0fa	HSat2	1	6	8395
2	k16_0534d0fa	HSat2	1	7	14957
2	k16_0534d0fa	HSat2	1	8	7028
2	k16_0534d0fa	HSat2	1	9	5247
2	k16_0534d0fa	HSat2	1	10	17419
2	k16_0534d0fa	HSat2	1	11	5956
2	k16_0534d0fa	HSat2	1	12	78502
2	k16_0534d0fa	HSat2	1	13	74925
2	k16_0534d0fa	HSat2	1	14	3545
2	k16_0534d0fa	HSat2	1	15	20876
2	k16_0534d0fa	HSat2	1	16	29019
2	k16_0534d0fa	HSat2	2	1	79559
2	k16_0534d0fa	HSat2	2	2	7183
2	k16_0534d0fa	HSat2	2	3	17123769
2	k16_0534d0fa	HSat2	2	4	47697
2	k16_0534d0fa	HSat2	2	5	4116
2	k16_0534d0fa	HSat2	2	6	44593
2	k16_0534d0fa	HSat2	2	7	12964
2	k16_0534d0fa	HSat2	2	8	96248
2	k16_0534d0fa	HSat2	2	9	3503
2	k16_0534d0fa	HSat2	2	10	15476
2	k16_0534d0fa	HSat2	2	11	435685
2	k16_0534d0fa	HSat2	2	12	35148
2	k16_0534d0fa	HSat2	2	13	16858198
2	k16_0534d0fa	HSat2	2	14	29710
2	k16_0534d0fa	HSat2	2	15	6215
2	k16_0534d0fa	HSat2	2	16	52218
2	k16_0534d0fa	HSat3	1	1	0
2	k16_0534d0fa	HSat3	1	2	0
2	k16_0534d0fa	HSat3	1	3	0
2	k16_0534d0fa	HSat3	1	4	0
2	k16_0534d0fa	HSat3	1	5	0
2	k16_0534d0fa	HSat3	1	6	0
2	k16_0534d0fa	HSat3	1	7	0
2	k16_0534d0fa	HSat3	1	8	0
2	k16_0534d0fa	HSat3	1	9	0
2	k16_0534d0fa	HSat3	1	10	0
2	k16_0534d0fa	HSat3	1	11	0
2	k16_0534d0fa	HSat3	1	12	0
2	k16_0534d0fa	HSat3	1	13	0
2	k16_0534d0fa	HSat3	1	14	0
2	k16_0534d0fa	HSat3	1	15	0
2	k16_0534d0fa	HSat3	1	16	0
2	k16_0534d0fa	HSat3	2	1	0
2	k16_0534d0fa	HSat3	2	2	0
2	k16_0534d0fa	HSat3	2	3	4237
2	k16_0534d0fa	HSat3	2	4	0
2	k16_0534d0fa	HSat3	2	5	0
2	k16_0534d0fa	HSat3	2	6	0
2	k16_0534d0fa	HSat3	2	7	0
2	k16_0534d0fa	HSat3	2	8	0
2	k16_0534d0fa	HSat3	2	9	0
2	k16_0534d0fa	HSat3	2	10	0
2	k16_0534d0fa	HSat3	2	11	0
2	k16_0534d0fa	HSat3	2	12	0
2	k16_0534d0fa	HSat3	2	13	4236
2	k16_0534d0fa	HSat3	2	14	0
2	k16_0534d0fa	HSat3	2	15	0
2	k16_0534d0fa	HSat3	2	16	1
2	k16_0534d0fa	HSat23	1	1	87794
2	k16_0534d0fa	HSat23	1	2	7008
2	k16_0534d0fa	HSat23	1	3	223347
2	k16_0534d0fa	HSat23	1	4	49983
2	k16_0534d0fa	HSat23	1	5	4598
2	k16_0534d0fa	HSat23	1	6	8395
2	k16_0534d0fa	HSat23	1	7	14957
2	k16_0534d0fa	HSat23	1	8	7028
2	k16_0534d0fa	HSat23	1	9	5247
2	k16_0534d0fa	HSat23	1	10	17419
2	k16_0534d0fa	HSat23	1	11	5956
2	k16_0534d0fa	HSat23	1	12	78502
2	k16_0534d0fa	HSat23	1	13	74925
2	k16_0534d0fa	HSat23	1	14	3545
2	k16_0534d0fa	HSat23	1	15	20876
2	k16_0534d0fa	HSat23	1	16	29019
2	k16_0534d0fa	HSat23	2	1	79559
2	k16_0534d0fa	HSat23	2	2	7183
2	k16_0534d0fa	HSat23	2	3	17128219
2	k16_0534d0fa	HSat23	2	4	47697
2	k16_0534d0fa	HSat23	2	5	4116
2	k16_0534d0fa	HSat23	2	6	44593
2	k16_0534d0fa	HSat23	2	7	12964
2	k16_0534d0fa	HSat23	2	8	96248
2	k16_0534d0fa	HSat23	2	9	3503
2	k16_0534d0fa	HSat23	2	10	15476
2	k16_0534d0fa	HSat23	2	11	435685
2	k16_0534d0fa	HSat23	2	12	35148
2	k16_0534d0fa	HSat23	2	13	16862647
2	k16_0534d0fa	HSat23	2	14	29710
2	k16_0534d0fa	HSat23	2	15	6215
2	k16_0534d0fa	HSat23	2	16	52219
2	k16_0534d0fa	background	1	1	1198
2	k16_0534d0fa	background	1	2	595
2	k16_0534d0fa	background	1	3	2468
2	k16_0534d0fa	background	1	4	623
2	k16_0534d0fa	background	1	5	532
2	k16_0534d0fa	background	1	6	1251
2	k16_0534d0fa	background	1	7	1088
2	k16_0534d0fa	background	1	8	3
2	k16_0534d0fa	background	1	9	779
2	k16_0534d0fa	background	1	10	8806
2	k16_0534d0fa	background	1	11	3396
2	k16_0534d0fa	background	1	12	3662
2	k16_0534d0fa	background	1	13	1344
2	k16_0534d0fa	background	1	14	712
2	k16_0534d0fa	background	1	15	879
2	k16_0534d0fa	background	1	16	1042
2	k16_0534d0fa	background	2	1	80571
2	k16_0534d0fa	background	2	2	66231
2	k16_0534d0fa	background	2	3	131256
2	k16_0534d0fa	background	2	4	53501
2	k16_0534d0fa	background	2	5	50449
2	k16_0534d0fa	background	2	6	61597
2	k16_0534d0fa	background	2	7	112646
2	k16_0534d0fa	background	2	8	42031
2	k16_0534d0fa	background	2	9	65828
2	k16_0534d0fa	background	2	10	157088
2	k16_0534d0fa	background	2	11	48412
2	k16_0534d0fa	background	2	12	142752
2	k16_0534d0fa	background	2	13	182896
2	k16_0534d0fa	background	2	14	43313
2	k16_0534d0fa	background	2	15	79874
2	k16_0534d0fa	background	2	16	86827
3	k16_0560c43a	HSat2	1	1	0
3	k16_0560c43a	HSat2	1	2	0
3	k16_0560c43a	HSat2	1	3	0
3	k16_0560c43a	HSat2	1	4	0
3	k16_0560c43a	HSat2	1	5	0
3	k16_0560c43a	HSat2	1	6	0
3	k16_0560c43a	HSat2	1	7	0
3	k16_0560c43a	HSat2	1	8	0
3	k16_0560c43a	HSat2	1	9	0
3	k16_0560c43a	HSat2	1	10	0
3	k16_0560c43a	HSat2	1	11	0
3	k16_0560c43a	HSat2	1	12	0
3	k16_0560c43a	HSat2	1	13	0
3	k16_0560c43a	HSat2	1	14	0
3	k16_0560c43a	HSat2	1	15	0
3	k16_0560c43a	HSat2	1	16	0
3	k16_0560c43a	HSat2	2	1	0
3	k16_0560c43a	HSat2	2	2	0
3	k16_0560c43a	HSat2	2	3	835
3	k16_0560c43a	HSat2	2	4	0
3	k16_0560c43a	HSat2	2	5	830
3	k16_0560c43a	HSat2	2	6	0
3	k16_0560c43a	HSat2	2	7	0
3	k16_0560c43a	HSat2	2	8	0
3	k16_0560c43a	HSat2	2	9	0
3	k16_0560c43a	HSat2	2	10	11
3	k16_0560c43a	HSat2	2	11	8
3	k16_0560c43a	HSat2	2	12	0
3	k16_0560c43a	HSat2	2	13	0
3	k16_0560c43a	HSat2	2	14	0
3	k16_0560c43a	HSat2	2	15	1
3	k16_0560c43a	HSat2	2	16	1
3	k16_0560c43a	HSat3	1	1	4218
3	k16_0560c43a	HSat3	1	2	5577
3	k16_0560c43a	HSat3	1	3	18533
3	k16_0560c43a	HSat3	1	4	38232
3	k16_0560c43a	HSat3	1	5	41589
3	k16_0560c43a	HSat3	1	6	37427
3	k16_0560c43a	HSat3	1	7	5444
3	k16_0560c43a	HSat3	1	8	1589883
3	k16_0560c43a	HSat3	1	9	9361
3	k16_0560c43a	HSat3	1	10	128432
3	k16_0560c43a	HSat3	1	11	5505261
3	k16_0560c43a	HSat3	1	12	5854
3	k16_0560c43a	HSat3	1	13	16278
3	k16_0560c43a	HSat3	1	14	29058
3	k16_0560c43a	HSat3	1	15	7930
3	k16_0560c43a	HSat3	1	16	137094
3	k16_0560c43a	HSat3	2	1	153827
3	k16_0560c43a	HSat3	2	2	59325
3	k16_0560c43a	HSat3	2	3	980078
3	k16_0560c43a	HSat3	2	4	751448
3	k16_0560c43a	HSat3	2	5	695135
3	k16_0560c43a	HSat3	2	6	511795
3	k16_0560c43a	HSat3	2	7	63677
3	k16_0560c43a	HSat3	2	8	6759024
3	k16_0560c43a	HSat3	2	9	148833
3	k16_0560c43a	HSat3	2	10	10940874
3	k16_0560c43a	HSat3	2	11	8283556
3	k16_0560c43a	HSat3	2	12	28392
3	k16_0560c43a	HSat3	2	13	118665
3	k16_0560c43a	HSat3	2	14	223735
3	k16_0560c43a	HSat3	2	15	160474
3	k16_0560c43a	HSat3	2	16	267538
3	k16_0560c43a	HSat23	1	1	4218
3	k16_0560c43a	HSat23	1	2	5577
3	k16_0560c43a	HSat23	1	3	18533
3	k16_0560c43a	HSat23	1	4	38232
3	k16_0560c43a	HSat23	1	5	41589
3	k16_0560c43a	HSat23	1	6	37427
3	k16_0560c43a	HSat23	1	7	5444
3	k16_0560c43a	HSat23	1	8	1589883
3	k16_0560c43a	HSat23	1	9	9361
3	k16_0560c43a	HSat23	1	10	128432
3	k16_0560c43a	HSat23	1	11	5505261
3	k16_0560c43a	HSat23	1	12	5854
3	k16_0560c43a	HSat23	1	13	16278
3	k16_0560c43a	HSat23	1	14	29058
3	k16_0560c43a	HSat23	1	15	7930
3	k16_0560c43a	HSat23	1	16	137094
3	k16_0560c43a	HSat23	2	1	153827
3	k16_0560c43a	HSat23	2	2	59325
3	k16_0560c43a	HSat23	2	3	980913
3	k16_0560c43a	HSat23	2	4	751448
3	k16_0560c43a	HSat23	2	5	695965
3	k16_0560c43a	HSat23	2	6	511795
3	k16_0560c43a	HSat23	2	7	63677
3	k16_0560c43a	HSat23	2	8	6759024
3	k16_0560c43a	HSat23	2	9	148833
3	k16_0560c43a	HSat23	2	10	10940885
3	k16_0560c43a	HSat23	2	11	8283564
3	k16_0560c43a	HSat23	2	12	28392
3	k16_0560c43a	HSat23	2	13	118665
3	k16_0560c43a	HSat23	2	14	223735
3	k16_0560c43a	HSat23	2	15	160475
3	k16_0560c43a	HSat23	2	16	267539
3	k16_0560c43a	background	1	1	0
3	k16_0560c43a	background	1	2	0
3	k16_0560c43a	background	1	3	560
3	k16_0560c43a	background	1	4	3
3	k16_0560c43a	background	1	5	2263
3	k16_0560c43a	background	1	6	6722
3	k16_0560c43a	background	1	7	403
3	k16_0560c43a	background	1	8	10
3	k16_0560c43a	background	1	9	545
3	k16_0560c43a	background	1	10	407
3	k16_0560c43a	background	1	11	47
3	k16_0560c43a	background	1	12	0
3	k16_0560c43a	background	1	13	775
3	k16_0560c43a	background	1	14	381
3	k16_0560c43a	background	1	15	0
3	k16_0560c43a	background	1	16	469
3	k16_0560c43a	background	2	1	11210
3	k16_0560c43a	background	2	2	25259
3	k16_0560c43a	background	2	3	29032
3	k16_0560c43a	background	2	4	22436
3	k16_0560c43a	background	2	5	105651
3	k16_0560c43a	background	2	6	129257
3	k16_0560c43a	background	2	7	9405
3	k16_0560c43a	background	2	8	10480
3	k16_0560c43a	background	2	9	60533
3	k16_0560c43a	background	2	10	20899
3	k16_0560c43a	background	2	11	27683
3	k16_0560c43a	background	2	12	6710
3	k16_0560c43a	background	2	13	24794
3	k16_0560c43a	background	2	14	20556
3	k16_0560c43a	background	2	15	19093
3	k16_0560c43a	background	2	16	36460
4	k16_0b34d83a	HSat2	1	1	16584
4	k16_0b34d83a	HSat2	1	2	1982
4	k16_0b34d83a	HSat2	1	3	4288163
4	k16_0b34d83a	HSat2	1	4	121395
4	k16_0b34d83a	HSat2	1	5	118
4	k16_0b34d83a	HSat2	1	6	13
4	k16_0b34d83a	HSat2	1	7	74
4	k16_0b34d83a	HSat2	1	8	1398
4	k16_0b34d83a	HSat2	1	9	2963
4	k16_0b34d83a	HSat2	1	10	417
4	k16_0b34d83a	HSat2	1	11	660
4	k16_0b34d83a	HSat2	1	12	7
4	k16_0b34d83a	HSat2	1	13	2405
4	k16_0b34d83a	HSat2	1	14	354
4	k16_0b34d83a	HSat2	1	15	47
4	k16_0b34d83a	HSat2	1	16	28
4	k16_0b34d83a	HSat2	2	1	6683348
4	k16_0b34d83a	HSat2	2	2	1599068
4	k16_0b34d83a	HSat2	2	3	27619627
4	k16_0b34d83a	HSat2	2	4	32464345
4	k16_0b34d83a	HSat2	2	5	106056
4	k16_0b34d83a	HSat2	2	6	57268
4	k16_0b34d83a	HSat2	2	7	54356
4	k16_0b34d83a	HSat2	2	8	32145
4	k16_0b34d83a	HSat2	2	9	660318
4	k16_0b34d83a	HSat2	2	10	806621
4	k16_0b34d83a	HSat2	2	11	801746
4	k16_0b34d83a	HSat2	2	12	24790
4	k16_0b34d83a	HSat2	2	13	23207
4	k16_0b34d83a	HSat2	2	14	565510
4	k16_0b34d83a	HSat2	2	15	32646
4	k16_0b34d83a	HSat2	2	16	73619
4	k16_0b34d83a	HSat3	1	1	0
4	k16_0b34d83a	HSat3	1	2	0
4	k16_0b34d83a	HSat3	1	3	237
4	k16_0b34d83a	HSat3	1	4	0
4	k16_0b34d83a	HSat3	1	5	0
4	k16_0b34d83a	HSat3	1	6	0
4	k16_0b34d83a	HSat3	1	7	5
4	k16_0b34d83a	HSat3	1	8	0
4	k16_0b34d83a	HSat3	1	9	0
4	k16_0b34d83a	HSat3	1	10	0
4	k16_0b34d83a	HSat3	1	11	0
4	k16_0b34d83a	HSat3	1	12	0
4	k16_0b34d83a	HSat3	1	13	0
4	k16_0b34d83a	HSat3	1	14	0
4	k16_0b34d83a	HSat3	1	15	0
4	k16_0b34d83a	HSat3	1	16	0
4	k16_0b34d83a	HSat3	2	1	901
4	k16_0b34d83a	HSat3	2	2	284
4	k16_0b34d83a	HSat3	2	3	10666
4	k16_0b34d83a	HSat3	2	4	10934
4	k16_0b34d83a	HSat3	2	5	2270
4	k16_0b34d83a	HSat3	2	6	986
4	k16_0b34d83a	HSat3	2	7	6557
4	k16_0b34d83a	HSat3	2	8	356
4	k16_0b34d83a	HSat3	2	9	8
4	k16_0b34d83a	HSat3	2	10	4851
4	k16_0b34d83a	HSat3	2	11	567
4	k16_0b34d83a	HSat3	2	12	0
4	k16_0b34d83a	HSat3	2	13	1
4	k16_0b34d83a	HSat3	2	14	0
4	k16_0b34d83a	HSat3	2	15	0
4	k16_0b34d83a	HSat3	2	16	51
4	k16_0b34d83a	HSat23	1	1	16584
4	k16_0b34d83a	HSat23	1	2	1982
4	k16_0b34d83a	HSat23	1	3	4288418
4	k16_0b34d83a	HSat23	1	4	121395
4	k16_0b34d83a	HSat23	1	5	118
4	k16_0b34d83a	HSat23	1	6	13
4	k16_0b34d83a	HSat23	1	7	79
4	k16_0b34d83a	HSat23	1	8	1398
4	k16_0b34d83a	HSat23	1	9	2963
4	k16_0b34d83a	HSat23	1	10	417
4	k16_0b34d83a	HSat23	1	11	660
4	k16_0b34d83a	HSat23	1	12	7
4	k16_0b34d83a	HSat23	1	13	2405
4	k16_0b34d83a	HSat23	1	14	354
4	k16_0b34d83a	HSat23	1	15	47
4	k16_0b34d83a	HSat23	1	16	28
4	k16_0b34d83a	HSat23	2	1	6684249
4	k16_0b34d83a	HSat23	2	2	1599376
4	k16_0b34d83a	HSat23	2	3	27630548
4	k16_0b34d83a	HSat23	2	4	32475572
4	k16_0b34d83a	HSat23	2	5	108337
4	k16_0b34d83a	HSat23	2	6	58254
4	k16_0b34d83a	HSat23	2	7	60913
4	k16_0b34d83a	HSat23	2	8	32501
4	k16_0b34d83a	HSat23	2	9	660326
4	k16_0b34d83a	HSat23	2	10	811472
4	k16_0b34d83a	HSat23	2	11	802338
4	k16_0b34d83a	HSat23	2	12	24790
4	k16_0b34d83a	HSat23	2	13	23208
4	k16_0b34d83a	HSat23	2	14	565510
4	k16_0b34d83a	HSat23	2	15	32646
4	k16_0b34d83a	HSat23	2	16	73670
4	k16_0b34d83a	background	1	1	27
4	k16_0b34d83a	background	1	2	3
4	k16_0b34d83a	background	1	3	15125
4	k16_0b34d83a	background	1	4	1260
4	k16_0b34d83a	background	1	5	0
4	k16_0b34d83a	background	1	6	0
4	k16_0b34d83a	background	1	7	0
4	k16_0b34d83a	background	1	8	463
4	k16_0b34d83a	background	1	9	399
4	k16_0b34d83a	background	1	10	2385
4	k16_0b34d83a	background	1	11	3003
4	k16_0b34d83a	background	1	12	1
4	k16_0b34d83a	background	1	13	526
4	k16_0b34d83a	background	1	14	451
4	k16_0b34d83a	background	1	15	813
4	k16_0b34d83a	background	1	16	561
4	k16_0b34d83a	background	2	1	32008
4	k16_0b34d83a	background	2	2	15383
4	k16_0b34d83a	background	2	3	109658
4	k16_0b34d83a	background	2	4	116887
4	k16_0b34d83a	background	2	5	22419
